location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Singapore,2021-07-26,"Moderna, Pfizer/BioNTech, Sinovac",7256331,4254789,3122180,https://www.moh.gov.sg/covid-19
Singapore,2021-07-27,"Moderna, Pfizer/BioNTech, Sinovac",7305300,4267577,3158737,https://www.moh.gov.sg/covid-19
Singapore,2021-07-29,"Moderna, Pfizer/BioNTech",7429918,4290278,3261603,https://www.moh.gov.sg/covid-19
Singapore,2021-07-30,"Moderna, Pfizer/BioNTech",7504554,4299667,3327272,https://www.moh.gov.sg/covid-19
Singapore,2021-07-31,"Moderna, Pfizer/BioNTech",7576612,4307602,3391799,https://www.moh.gov.sg/covid-19
Singapore,2021-08-01,"Moderna, Pfizer/BioNTech",7638279,4313182,3448193,https://www.moh.gov.sg/covid-19
Singapore,2021-08-02,"Moderna, Pfizer/BioNTech",7703746,4321223,3505975,https://www.moh.gov.sg/covid-19
Singapore,2021-08-03,"Moderna, Pfizer/BioNTech",7767442,4329956,3561452,https://www.moh.gov.sg/covid-19
Singapore,2021-08-04,"Moderna, Pfizer/BioNTech",7831520,4337397,3618488,https://www.moh.gov.sg/covid-19/vaccination
Singapore,2021-08-06,"Moderna, Pfizer/BioNTech",7971889,4351541,3744802,https://www.moh.gov.sg/covid-19/vaccination
Singapore,2021-08-07,"Moderna, Pfizer/BioNTech",8042596,4359495,3807652,https://www.moh.gov.sg/covid-19/vaccination
Singapore,2021-08-08,"Moderna, Pfizer/BioNTech",8103735,4367061,3862510,https://www.moh.gov.sg/covid-19/vaccination
Singapore,2021-08-09,"Moderna, Pfizer/BioNTech",8145237,4373550,3897650,https://www.moh.gov.sg/covid-19/vaccination
