Country,Year,0-17_fully,12-17_fully,18-24_fully,18-29_fully,25-34_fully,25-49_fully,30-39_fully,35-44_fully,40-49_fully,45-54_fully,50-54_fully,50-59_fully,55-59_fully,55-64_fully,60-64_fully,60-69_fully,65-69_fully,65-74_fully,70-74_fully,70-79_fully,75+_fully,75-79_fully,80+_fully,0-17_start,12-17_start,18-24_start,18-29_start,25-34_start,25-49_start,30-39_start,35-44_start,40-49_start,45-54_start,50-54_start,50-59_start,55-59_start,55-64_start,60-64_start,60-69_start,65-69_start,65-74_start,70-74_start,70-79_start,75+_start,75-79_start,80+_start,0-17_partly,12-17_partly,18-24_partly,18-29_partly,25-34_partly,25-49_partly,30-39_partly,35-44_partly,40-49_partly,45-54_partly,50-54_partly,50-59_partly,55-59_partly,55-64_partly,60-64_partly,60-69_partly,65-69_partly,65-74_partly,70-74_partly,70-79_partly,75+_partly,75-79_partly,80+_partly
Austria,7,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.12,,,0.38,,,,,,0.54,,,,0.32,,,,0.27,,,1.22,,,0.12,,,0.38,,,,,,0.54,,,,0.32,,,,0.27,,,1.22
Austria,14,,,0.0,,,0.0,,,,,,0.01,,,,0.0,,,,0.01,,,0.02,,,0.44,,,1.18,,,,,,1.81,,,,1.3,,,,1.28,,,6.03,,,0.44,,,1.18,,,,,,1.8,,,,1.3,,,,1.27,,,6.01
Austria,21,,,0.01,,,0.04,,,,,,0.07,,,,0.05,,,,0.07,,,0.31,,,0.87,,,2.16,,,,,,3.14,,,,2.11,,,,2.15,,,11.73,,,0.86,,,2.12,,,,,,3.07,,,,2.06,,,,2.08,,,11.42
Austria,28,,,0.1,,,0.24,,,,,,0.36,,,,0.25,,,,0.23,,,1.03,,,1.03,,,2.46,,,,,,3.54,,,,2.38,,,,2.36,,,14.09,,,0.93,,,2.22,,,,,,3.18,,,,2.13,,,,2.13,,,13.06
Austria,35,,,0.4,,,1.06,,,,,,1.6,,,,1.13,,,,1.08,,,5.06,,,1.15,,,2.67,,,,,,3.85,,,,2.56,,,,2.51,,,14.89,,,0.75,,,1.61,,,,,,2.25,,,,1.43,,,,1.43,,,9.83
Austria,42,,,0.79,,,2.0,,,,,,2.89,,,,1.93,,,,1.86,,,10.24,,,1.52,,,3.04,,,,,,4.3,,,,2.83,,,,2.72,,,15.82,,,0.73,,,1.04,,,,,,1.41,,,,0.9,,,,0.86,,,5.58
Austria,49,,,0.99,,,2.35,,,,,,3.38,,,,2.24,,,,2.23,,,13.32,,,2.0,,,3.7,,,,,,5.14,,,,3.33,,,,3.04,,,20.13,,,1.01,,,1.35,,,,,,1.76,,,,1.09,,,,0.81,,,6.81
Austria,56,,,1.12,,,2.6,,,,,,3.75,,,,2.51,,,,2.41,,,13.98,,,2.95,,,4.79,,,,,,6.44,,,,4.2,,,,3.52,,,27.74,,,1.83,,,2.19,,,,,,2.69,,,,1.69,,,,1.11,,,13.76
Austria,63,,,1.2,,,2.75,,,,,,3.96,,,,2.66,,,,2.56,,,14.91,,,3.72,,,5.86,,,,,,7.9,,,,5.32,,,,4.57,,,43.78,,,2.52,,,3.11,,,,,,3.94,,,,2.66,,,,2.01,,,28.87
Austria,70,,,1.24,,,2.87,,,,,,4.15,,,,2.84,,,,2.84,,,19.06,,,5.11,,,7.9,,,,,,10.4,,,,8.1,,,,8.13,,,57.38,,,3.87,,,5.03,,,,,,6.25,,,,5.26,,,,5.29,,,38.32
Austria,77,,,1.29,,,2.98,,,,,,4.32,,,,3.09,,,,3.24,,,26.62,,,5.81,,,9.24,,,,,,12.38,,,,10.97,,,,13.79,,,66.72,,,4.52,,,6.26,,,,,,8.06,,,,7.88,,,,10.55,,,40.1
Austria,84,,,1.36,,,3.11,,,,,,4.62,,,,3.58,,,,4.01,,,42.01,,,6.44,,,10.44,,,,,,14.2,,,,13.35,,,,18.97,,,71.76,,,5.08,,,7.33,,,,,,9.58,,,,9.77,,,,14.96,,,29.75
Austria,91,,,1.48,,,3.28,,,,,,4.92,,,,4.2,,,,5.5,,,53.01,,,6.8,,,11.01,,,,,,15.21,,,,14.99,,,,26.89,,,78.27,,,5.32,,,7.73,,,,,,10.29,,,,10.79,,,,21.39,,,25.26
Austria,98,,,2.2,,,4.14,,,,,,6.09,,,,5.99,,,,9.03,,,62.26,,,7.13,,,11.58,,,,,,16.32,,,,19.72,,,,40.38,,,84.02,,,4.93,,,7.44,,,,,,10.23,,,,13.73,,,,31.35,,,21.76
Austria,105,,,2.54,,,4.64,,,,,,6.93,,,,7.6,,,,13.07,,,66.42,,,7.61,,,12.67,,,,,,18.5,,,,27.65,,,,54.44,,,88.08,,,5.07,,,8.03,,,,,,11.57,,,,20.05,,,,41.37,,,21.66
Austria,112,,,2.69,,,4.89,,,,,,7.32,,,,8.25,,,,15.42,,,70.67,,,8.49,,,14.4,,,,,,22.24,,,,37.4,,,,63.66,,,90.03,,,5.8,,,9.51,,,,,,14.92,,,,29.15,,,,48.24,,,19.36
Austria,119,,,2.96,,,5.2,,,,,,7.78,,,,9.31,,,,19.74,,,72.05,,,9.69,,,16.29,,,,,,27.01,,,,48.85,,,,67.85,,,91.28,,,6.73,,,11.09,,,,,,19.23,,,,39.54,,,,48.11,,,19.23
Austria,126,,,3.54,,,5.93,,,,,,8.78,,,,11.49,,,,26.28,,,74.15,,,11.64,,,19.48,,,,,,34.09,,,,57.58,,,,71.41,,,92.76,,,8.1,,,13.55,,,,,,25.31,,,,46.09,,,,45.13,,,18.61
Austria,133,,,4.25,,,6.87,,,,,,10.04,,,,13.72,,,,30.3,,,75.42,,,13.94,,,22.95,,,,,,41.99,,,,63.99,,,,73.38,,,93.74,,,9.69,,,16.08,,,,,,31.95,,,,50.27,,,,43.08,,,18.32
Austria,140,,,5.34,,,8.39,,,,,,12.29,,,,17.73,,,,36.15,,,79.46,,,16.74,,,27.96,,,,,,49.09,,,,70.57,,,,75.35,,,94.82,,,11.4,,,19.57,,,,,,36.8,,,,52.84,,,,39.2,,,15.36
Austria,147,,,6.63,,,10.64,,,,,,15.76,,,,23.18,,,,42.66,,,82.02,,,19.52,,,32.18,,,,,,53.52,,,,73.73,,,,76.38,,,95.45,,,12.89,,,21.54,,,,,,37.76,,,,50.55,,,,33.72,,,13.43
Austria,154,,,8.19,,,13.2,,,,,,19.9,,,,31.06,,,,49.54,,,83.5,,,23.85,,,37.64,,,,,,58.61,,,,76.2,,,,77.31,,,96.06,,,15.66,,,24.44,,,,,,38.71,,,,45.14,,,,27.77,,,12.56
Austria,161,,,10.0,,,16.44,,,,,,26.12,,,,41.97,,,,54.17,,,85.97,,,29.19,,,42.79,,,,,,63.41,,,,77.68,,,,78.04,,,96.58,,,19.19,,,26.35,,,,,,37.29,,,,35.71,,,,23.87,,,10.61
Austria,168,,,12.3,,,19.92,,,,,,32.86,,,,50.91,,,,58.64,,,88.14,,,33.91,,,47.39,,,,,,66.27,,,,79.03,,,,78.77,,,97.13,,,21.61,,,27.47,,,,,,33.41,,,,28.12,,,,20.13,,,8.99
Austria,175,,,14.98,,,24.25,,,,,,42.01,,,,57.87,,,,64.67,,,90.16,,,38.26,,,51.31,,,,,,67.77,,,,79.95,,,,79.31,,,97.53,,,23.28,,,27.06,,,,,,25.76,,,,22.08,,,,14.64,,,7.37
Austria,182,,,19.62,,,29.84,,,,,,49.19,,,,65.6,,,,71.25,,,91.66,,,42.94,,,54.63,,,,,,69.23,,,,80.87,,,,79.89,,,97.96,,,23.32,,,24.79,,,,,,20.04,,,,15.27,,,,8.64,,,6.3
Austria,189,,,24.51,,,35.6,,,,,,54.58,,,,70.24,,,,74.28,,,92.67,,,47.78,,,56.91,,,,,,70.33,,,,81.66,,,,80.35,,,98.31,,,23.27,,,21.31,,,,,,15.75,,,,11.42,,,,6.07,,,5.64
Austria,196,,,29.28,,,41.04,,,,,,59.29,,,,74.08,,,,75.81,,,93.48,,,50.14,,,58.31,,,,,,71.28,,,,82.37,,,,80.8,,,98.65,,,20.86,,,17.27,,,,,,11.99,,,,8.29,,,,4.99,,,5.17
Austria,203,,,34.63,,,45.78,,,,,,63.67,,,,76.31,,,,76.79,,,94.14,,,52.11,,,59.58,,,,,,72.12,,,,83.0,,,,81.22,,,99.0,,,17.48,,,13.8,,,,,,8.45,,,,6.69,,,,4.43,,,4.86
Austria,207,,,35.01,,,46.14,,,,,,63.95,,,,76.55,,,,76.87,,,94.2,,,52.3,,,59.69,,,,,,72.19,,,,83.06,,,,81.25,,,99.02,,,17.29,,,13.55,,,,,,8.24,,,,6.51,,,,4.38,,,4.82
Belgium,7,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.04,,,0.11,,,,,,0.16,,,,0.17,,,,0.37,,,2.29,,,0.04,,,0.11,,,,,,0.16,,,,0.17,,,,0.37,,,2.29
Belgium,14,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.23,,,0.52,,,,,,0.74,,,,0.71,,,,1.57,,,10.49,,,0.23,,,0.52,,,,,,0.74,,,,0.71,,,,1.57,,,10.49
Belgium,21,,,0.0,,,0.0,,,,,,0.01,,,,0.01,,,,0.01,,,0.07,,,0.98,,,1.62,,,,,,2.03,,,,1.61,,,,2.6,,,15.12,,,0.98,,,1.62,,,,,,2.02,,,,1.6,,,,2.59,,,15.05
Belgium,28,,,0.04,,,0.11,,,,,,0.15,,,,0.16,,,,0.35,,,2.13,,,1.52,,,2.36,,,,,,2.87,,,,2.15,,,,3.02,,,16.38,,,1.48,,,2.25,,,,,,2.72,,,,1.99,,,,2.67,,,14.25
Belgium,35,,,0.22,,,0.5,,,,,,0.72,,,,0.68,,,,1.5,,,9.93,,,1.81,,,2.9,,,,,,3.47,,,,2.53,,,,3.25,,,17.03,,,1.59,,,2.4,,,,,,2.75,,,,1.85,,,,1.75,,,7.1
Belgium,42,,,0.91,,,1.48,,,,,,1.9,,,,1.54,,,,2.5,,,14.42,,,2.0,,,3.29,,,,,,3.98,,,,2.83,,,,3.39,,,17.34,,,1.09,,,1.81,,,,,,2.08,,,,1.29,,,,0.89,,,2.92
Belgium,49,,,1.46,,,2.25,,,,,,2.77,,,,2.08,,,,2.92,,,15.68,,,2.45,,,3.99,,,,,,4.71,,,,3.17,,,,3.53,,,17.48,,,0.99,,,1.74,,,,,,1.94,,,,1.09,,,,0.61,,,1.8
Belgium,56,,,1.7,,,2.68,,,,,,3.24,,,,2.39,,,,3.14,,,16.35,,,3.16,,,5.35,,,,,,6.11,,,,3.63,,,,3.69,,,17.61,,,1.46,,,2.67,,,,,,2.87,,,,1.24,,,,0.55,,,1.26
Belgium,63,,,1.9,,,3.09,,,,,,3.73,,,,2.68,,,,3.26,,,16.65,,,4.36,,,7.24,,,,,,8.08,,,,4.58,,,,4.33,,,18.72,,,2.46,,,4.15,,,,,,4.35,,,,1.9,,,,1.07,,,2.07
Belgium,70,,,2.29,,,3.7,,,,,,4.43,,,,3.09,,,,3.42,,,16.82,,,5.45,,,8.79,,,,,,9.77,,,,6.25,,,,6.0,,,20.76,,,3.16,,,5.09,,,,,,5.34,,,,3.16,,,,2.58,,,3.94
Belgium,77,,,2.79,,,4.43,,,,,,5.33,,,,3.56,,,,3.59,,,16.98,,,6.43,,,9.79,,,,,,11.22,,,,8.59,,,,11.26,,,33.92,,,3.64,,,5.36,,,,,,5.89,,,,5.03,,,,7.67,,,16.94
Belgium,84,,,3.3,,,5.12,,,,,,6.27,,,,4.24,,,,4.08,,,17.97,,,6.97,,,10.43,,,,,,12.11,,,,10.42,,,,18.49,,,51.55,,,3.67,,,5.31,,,,,,5.84,,,,6.18,,,,14.41,,,33.58
Belgium,91,,,3.76,,,5.64,,,,,,7.15,,,,5.34,,,,4.91,,,18.98,,,7.34,,,10.93,,,,,,12.81,,,,12.39,,,,26.43,,,73.64,,,3.58,,,5.29,,,,,,5.66,,,,7.05,,,,21.52,,,54.66
Belgium,98,,,4.02,,,5.96,,,,,,7.59,,,,5.96,,,,6.27,,,21.32,,,7.67,,,11.37,,,,,,13.64,,,,17.36,,,,52.38,,,80.7,,,3.65,,,5.41,,,,,,6.05,,,,11.4,,,,46.11,,,59.38
Belgium,105,,,4.2,,,6.2,,,,,,7.91,,,,6.57,,,,8.29,,,28.87,,,8.14,,,11.78,,,,,,15.21,,,,25.17,,,,77.69,,,83.13,,,3.94,,,5.58,,,,,,7.3,,,,18.6,,,,69.4,,,54.26
Belgium,112,,,4.33,,,6.36,,,,,,8.08,,,,6.92,,,,9.16,,,29.55,,,8.69,,,12.38,,,,,,18.88,,,,40.51,,,,88.13,,,84.28,,,4.36,,,6.02,,,,,,10.8,,,,33.59,,,,78.97,,,54.73
Belgium,119,,,4.54,,,6.63,,,,,,8.51,,,,8.02,,,,12.83,,,32.61,,,9.29,,,13.23,,,,,,23.78,,,,57.34,,,,89.89,,,85.35,,,4.75,,,6.6,,,,,,15.27,,,,49.32,,,,77.06,,,52.74
Belgium,126,,,4.85,,,7.1,,,,,,9.4,,,,10.25,,,,20.19,,,51.48,,,9.92,,,15.55,,,,,,32.68,,,,75.11,,,,91.35,,,86.59,,,5.07,,,8.45,,,,,,23.28,,,,64.86,,,,71.16,,,35.11
Belgium,133,,,5.23,,,7.65,,,,,,10.36,,,,12.87,,,,40.01,,,56.58,,,10.58,,,18.55,,,,,,41.0,,,,79.2,,,,92.22,,,87.27,,,5.35,,,10.9,,,,,,30.64,,,,66.33,,,,52.21,,,30.69
Belgium,140,,,6.27,,,9.19,,,,,,12.93,,,,19.11,,,,52.3,,,58.63,,,11.23,,,22.72,,,,,,56.46,,,,82.04,,,,92.86,,,87.93,,,4.96,,,13.53,,,,,,43.53,,,,62.93,,,,40.56,,,29.3
Belgium,147,,,7.46,,,11.27,,,,,,17.71,,,,31.2,,,,60.45,,,60.05,,,12.15,,,26.71,,,,,,60.28,,,,83.89,,,,93.17,,,88.28,,,4.69,,,15.44,,,,,,42.57,,,,52.69,,,,32.72,,,28.23
Belgium,154,,,8.6,,,13.65,,,,,,23.12,,,,46.17,,,,62.82,,,62.35,,,14.23,,,32.76,,,,,,71.47,,,,88.96,,,,93.6,,,88.73,,,5.63,,,19.11,,,,,,48.35,,,,42.79,,,,30.78,,,26.38
Belgium,161,,,9.82,,,16.7,,,,,,32.35,,,,60.52,,,,67.21,,,73.2,,,17.23,,,40.85,,,,,,83.04,,,,90.3,,,,93.94,,,89.07,,,7.41,,,24.15,,,,,,50.69,,,,29.78,,,,26.73,,,15.87
Belgium,168,,,10.96,,,20.74,,,,,,38.93,,,,64.62,,,,70.48,,,80.56,,,24.12,,,56.16,,,,,,85.55,,,,90.85,,,,94.21,,,89.34,,,13.16,,,35.42,,,,,,46.62,,,,26.23,,,,23.73,,,8.78
Belgium,175,,,13.93,,,24.34,,,,,,44.28,,,,66.91,,,,73.06,,,84.19,,,37.61,,,67.6,,,,,,86.32,,,,91.19,,,,94.41,,,89.54,,,23.68,,,43.26,,,,,,42.04,,,,24.28,,,,21.35,,,5.35
Belgium,182,,,16.14,,,27.95,,,,,,48.21,,,,70.57,,,,77.27,,,85.84,,,51.48,,,73.91,,,,,,86.79,,,,91.43,,,,94.58,,,89.68,,,35.34,,,45.96,,,,,,38.58,,,,20.86,,,,17.31,,,3.84
Belgium,189,,,19.08,,,34.6,,,,,,59.31,,,,79.39,,,,89.97,,,86.87,,,61.31,,,75.22,,,,,,87.16,,,,91.68,,,,94.8,,,89.86,,,42.23,,,40.62,,,,,,27.85,,,,12.29,,,,4.83,,,2.99
Belgium,196,,,23.01,,,42.47,,,,,,73.07,,,,83.87,,,,92.5,,,87.38,,,67.36,,,76.25,,,,,,87.6,,,,92.0,,,,95.08,,,90.1,,,44.35,,,33.78,,,,,,14.53,,,,8.13,,,,2.58,,,2.72
Belgium,203,,,30.35,,,55.1,,,,,,77.43,,,,87.02,,,,93.23,,,87.76,,,69.35,,,76.88,,,,,,87.94,,,,92.24,,,,95.26,,,90.26,,,39.0,,,21.78,,,,,,10.51,,,,5.22,,,,2.03,,,2.5
Belgium,207,,,31.02,,,56.15,,,,,,77.83,,,,87.48,,,,93.3,,,87.8,,,69.51,,,76.96,,,,,,87.99,,,,92.26,,,,95.28,,,90.27,,,38.49,,,20.81,,,,,,10.16,,,,4.78,,,,1.98,,,2.47
Bulgaria,7,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.04,,,0.18,,,,,,0.46,,,,0.39,,,,0.12,,,0.04,,,0.04,,,0.18,,,,,,0.46,,,,0.39,,,,0.12,,,0.04
Bulgaria,14,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.05,,,0.24,,,,,,0.62,,,,0.53,,,,0.17,,,0.06,,,0.05,,,0.24,,,,,,0.62,,,,0.53,,,,0.17,,,0.06
Bulgaria,21,,,0.01,,,0.06,,,,,,0.17,,,,0.13,,,,0.04,,,0.01,,,0.06,,,0.29,,,,,,0.72,,,,0.63,,,,0.2,,,0.07,,,0.05,,,0.23,,,,,,0.55,,,,0.5,,,,0.16,,,0.06
Bulgaria,28,,,0.04,,,0.17,,,,,,0.45,,,,0.38,,,,0.12,,,0.04,,,0.07,,,0.37,,,,,,0.91,,,,0.82,,,,0.29,,,0.12,,,0.03,,,0.2,,,,,,0.46,,,,0.44,,,,0.17,,,0.08
Bulgaria,35,,,0.05,,,0.23,,,,,,0.59,,,,0.51,,,,0.16,,,0.05,,,0.1,,,0.51,,,,,,1.29,,,,1.13,,,,0.42,,,0.31,,,0.05,,,0.28,,,,,,0.7,,,,0.62,,,,0.26,,,0.26
Bulgaria,42,,,0.06,,,0.27,,,,,,0.69,,,,0.61,,,,0.2,,,0.06,,,0.13,,,0.75,,,,,,1.8,,,,1.47,,,,0.52,,,0.41,,,0.07,,,0.48,,,,,,1.11,,,,0.86,,,,0.32,,,0.35
Bulgaria,49,,,0.07,,,0.35,,,,,,0.88,,,,0.79,,,,0.28,,,0.12,,,0.32,,,1.37,,,,,,2.88,,,,2.29,,,,0.95,,,0.71,,,0.25,,,1.02,,,,,,2.0,,,,1.5,,,,0.67,,,0.59
Bulgaria,56,,,0.09,,,0.48,,,,,,1.21,,,,1.07,,,,0.4,,,0.28,,,0.71,,,2.28,,,,,,4.57,,,,4.52,,,,3.4,,,2.07,,,0.62,,,1.8,,,,,,3.36,,,,3.45,,,,3.0,,,1.79
Bulgaria,63,,,0.11,,,0.66,,,,,,1.66,,,,1.4,,,,0.5,,,0.39,,,0.96,,,2.86,,,,,,5.73,,,,6.38,,,,5.64,,,3.29,,,0.85,,,2.2,,,,,,4.07,,,,4.98,,,,5.14,,,2.9
Bulgaria,70,,,0.14,,,0.78,,,,,,1.92,,,,1.61,,,,0.59,,,0.45,,,1.15,,,3.28,,,,,,6.5,,,,7.53,,,,7.04,,,4.14,,,1.01,,,2.5,,,,,,4.58,,,,5.92,,,,6.45,,,3.69
Bulgaria,77,,,0.2,,,0.96,,,,,,2.25,,,,1.95,,,,0.82,,,0.56,,,1.26,,,3.56,,,,,,6.92,,,,7.9,,,,7.31,,,4.31,,,1.06,,,2.6,,,,,,4.67,,,,5.95,,,,6.49,,,3.75
Bulgaria,84,,,0.29,,,1.18,,,,,,2.66,,,,2.42,,,,1.15,,,0.69,,,1.58,,,4.25,,,,,,7.93,,,,9.11,,,,8.6,,,5.08,,,1.29,,,3.07,,,,,,5.27,,,,6.69,,,,7.45,,,4.39
Bulgaria,91,,,0.36,,,1.37,,,,,,2.97,,,,2.71,,,,1.38,,,0.83,,,1.94,,,5.0,,,,,,9.0,,,,10.38,,,,10.0,,,5.99,,,1.58,,,3.63,,,,,,6.03,,,,7.67,,,,8.62,,,5.16
Bulgaria,98,,,0.43,,,1.58,,,,,,3.29,,,,2.98,,,,1.56,,,0.93,,,2.23,,,5.6,,,,,,9.94,,,,11.9,,,,11.91,,,7.24,,,1.8,,,4.02,,,,,,6.65,,,,8.92,,,,10.35,,,6.31
Bulgaria,105,,,0.52,,,1.83,,,,,,3.68,,,,3.31,,,,1.78,,,1.08,,,2.48,,,6.16,,,,,,10.8,,,,13.25,,,,13.56,,,8.3,,,1.96,,,4.33,,,,,,7.12,,,,9.94,,,,11.78,,,7.22
Bulgaria,112,,,0.71,,,2.37,,,,,,4.49,,,,4.11,,,,2.47,,,1.5,,,2.76,,,6.78,,,,,,11.67,,,,14.49,,,,15.02,,,9.21,,,2.05,,,4.41,,,,,,7.18,,,,10.38,,,,12.55,,,7.71
Bulgaria,119,,,0.95,,,3.02,,,,,,5.54,,,,5.43,,,,3.93,,,2.38,,,3.14,,,7.43,,,,,,12.56,,,,15.68,,,,16.33,,,10.07,,,2.19,,,4.41,,,,,,7.02,,,,10.25,,,,12.4,,,7.69
Bulgaria,126,,,1.3,,,3.8,,,,,,6.95,,,,7.56,,,,6.39,,,3.8,,,3.58,,,7.98,,,,,,13.23,,,,16.53,,,,17.22,,,10.62,,,2.28,,,4.18,,,,,,6.28,,,,8.97,,,,10.83,,,6.82
Bulgaria,133,,,1.83,,,5.07,,,,,,9.14,,,,10.89,,,,10.57,,,6.39,,,4.04,,,8.69,,,,,,14.19,,,,17.87,,,,18.85,,,11.7,,,2.21,,,3.62,,,,,,5.05,,,,6.98,,,,8.28,,,5.31
Bulgaria,140,,,2.36,,,6.09,,,,,,10.72,,,,13.15,,,,13.36,,,8.1,,,4.48,,,9.37,,,,,,15.14,,,,19.31,,,,20.64,,,12.92,,,2.12,,,3.28,,,,,,4.42,,,,6.16,,,,7.28,,,4.82
Bulgaria,147,,,2.88,,,6.86,,,,,,11.73,,,,14.42,,,,14.71,,,8.96,,,4.82,,,9.86,,,,,,15.83,,,,20.35,,,,21.89,,,13.82,,,1.94,,,3.0,,,,,,4.1,,,,5.93,,,,7.18,,,4.86
Bulgaria,154,,,3.51,,,7.85,,,,,,13.04,,,,16.26,,,,16.94,,,10.37,,,5.21,,,10.37,,,,,,16.5,,,,21.25,,,,22.99,,,14.6,,,1.7,,,2.52,,,,,,3.46,,,,4.99,,,,6.05,,,4.23
Bulgaria,161,,,4.13,,,8.86,,,,,,14.42,,,,18.23,,,,19.39,,,12.05,,,5.62,,,10.88,,,,,,17.16,,,,22.12,,,,24.01,,,15.33,,,1.49,,,2.02,,,,,,2.74,,,,3.89,,,,4.62,,,3.28
Bulgaria,168,,,4.65,,,9.59,,,,,,15.4,,,,19.62,,,,21.07,,,13.24,,,6.02,,,11.35,,,,,,17.78,,,,22.84,,,,24.8,,,15.88,,,1.37,,,1.76,,,,,,2.38,,,,3.22,,,,3.73,,,2.64
Bulgaria,175,,,5.12,,,10.18,,,,,,16.16,,,,20.65,,,,22.28,,,14.11,,,6.35,,,11.75,,,,,,18.34,,,,23.5,,,,25.53,,,16.37,,,1.23,,,1.57,,,,,,2.18,,,,2.85,,,,3.25,,,2.26
Bulgaria,182,,,5.58,,,10.74,,,,,,16.9,,,,21.58,,,,23.38,,,14.87,,,6.7,,,12.17,,,,,,18.88,,,,24.13,,,,26.17,,,16.79,,,1.12,,,1.43,,,,,,1.98,,,,2.55,,,,2.79,,,1.92
Bulgaria,189,,,6.01,,,11.25,,,,,,17.56,,,,22.37,,,,24.25,,,15.49,,,7.15,,,12.66,,,,,,19.54,,,,24.84,,,,26.88,,,17.26,,,1.14,,,1.41,,,,,,1.98,,,,2.47,,,,2.63,,,1.77
Bulgaria,196,,,6.43,,,11.78,,,,,,18.22,,,,23.1,,,,25.05,,,16.0,,,7.59,,,13.21,,,,,,20.2,,,,25.49,,,,27.52,,,17.67,,,1.16,,,1.43,,,,,,1.98,,,,2.39,,,,2.47,,,1.67
Bulgaria,203,,,6.86,,,12.29,,,,,,18.83,,,,23.76,,,,25.74,,,16.47,,,8.05,,,13.75,,,,,,20.86,,,,26.09,,,,28.11,,,18.05,,,1.19,,,1.46,,,,,,2.03,,,,2.33,,,,2.37,,,1.58
Croatia,0,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.03,,,,,,0.04,,,,0.03,,,,0.09,,,0.39,,,0.0,,,0.03,,,,,,0.04,,,,0.03,,,,0.09,,,0.39
Croatia,7,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.17,,,0.73,,,,,,1.05,,,,0.73,,,,0.96,,,3.22,,,0.17,,,0.73,,,,,,1.05,,,,0.73,,,,0.96,,,3.22
Croatia,14,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,0.02,,,0.09,,,0.27,,,1.19,,,,,,1.8,,,,1.26,,,,1.51,,,4.25,,,0.27,,,1.19,,,,,,1.8,,,,1.26,,,,1.49,,,4.16
Croatia,21,,,0.04,,,0.21,,,,,,0.31,,,,0.22,,,,0.41,,,1.72,,,0.35,,,1.49,,,,,,2.28,,,,1.66,,,,1.94,,,5.03,,,0.31,,,1.28,,,,,,1.97,,,,1.44,,,,1.53,,,3.31
Croatia,28,,,0.12,,,0.6,,,,,,0.88,,,,0.61,,,,0.79,,,2.82,,,0.36,,,1.53,,,,,,2.34,,,,1.71,,,,2.01,,,5.16,,,0.24,,,0.93,,,,,,1.46,,,,1.1,,,,1.22,,,2.34
Croatia,35,,,0.22,,,0.99,,,,,,1.49,,,,1.04,,,,1.21,,,3.67,,,0.37,,,1.57,,,,,,2.42,,,,1.8,,,,2.14,,,5.3,,,0.15,,,0.58,,,,,,0.93,,,,0.76,,,,0.93,,,1.63
Croatia,42,,,0.31,,,1.37,,,,,,2.09,,,,1.51,,,,1.68,,,4.52,,,0.43,,,1.77,,,,,,2.79,,,,2.36,,,,3.04,,,6.35,,,0.12,,,0.4,,,,,,0.7,,,,0.85,,,,1.36,,,1.83
Croatia,49,,,0.34,,,1.48,,,,,,2.27,,,,1.67,,,,1.91,,,4.86,,,0.55,,,2.15,,,,,,3.52,,,,3.48,,,,5.38,,,11.29,,,0.21,,,0.67,,,,,,1.25,,,,1.81,,,,3.47,,,6.43
Croatia,56,,,0.35,,,1.52,,,,,,2.33,,,,1.74,,,,2.02,,,5.0,,,0.65,,,2.48,,,,,,4.22,,,,5.23,,,,10.43,,,21.42,,,0.3,,,0.96,,,,,,1.89,,,,3.49,,,,8.41,,,16.42
Croatia,63,,,0.37,,,1.6,,,,,,2.47,,,,1.88,,,,2.2,,,5.3,,,0.72,,,2.73,,,,,,4.84,,,,7.09,,,,16.24,,,27.53,,,0.35,,,1.13,,,,,,2.37,,,,5.21,,,,14.04,,,22.23
Croatia,70,,,0.44,,,1.79,,,,,,2.79,,,,2.22,,,,2.74,,,6.46,,,0.93,,,3.02,,,,,,5.54,,,,9.31,,,,22.13,,,31.73,,,0.49,,,1.23,,,,,,2.75,,,,7.09,,,,19.39,,,25.27
Croatia,77,,,0.49,,,1.98,,,,,,3.1,,,,2.7,,,,3.75,,,8.16,,,1.03,,,3.33,,,,,,6.38,,,,12.05,,,,27.91,,,34.36,,,0.54,,,1.35,,,,,,3.28,,,,9.35,,,,24.16,,,26.2
Croatia,84,,,0.52,,,2.07,,,,,,3.28,,,,3.02,,,,4.45,,,9.25,,,1.16,,,3.69,,,,,,7.34,,,,15.12,,,,33.23,,,36.62,,,0.64,,,1.62,,,,,,4.06,,,,12.1,,,,28.78,,,27.37
Croatia,91,,,0.55,,,2.18,,,,,,3.48,,,,3.44,,,,5.59,,,10.9,,,1.33,,,4.04,,,,,,8.37,,,,18.58,,,,38.29,,,38.71,,,0.78,,,1.86,,,,,,4.89,,,,15.14,,,,32.7,,,27.81
