iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
CIV,Africa,Cote d'Ivoire,2021-08-17,52583.0,160.0,147.857,365.0,2.0,2.571,1993.421,6.066,5.605,13.837,0.076,0.097,1.16,,,,,,,,,4379.0,826678.0,31.339,0.166,3523.0,0.134,0.042,23.9,samples tested,1227516.0,1227516.0,,,8985.0,11378.0,4.65,4.65,,,431.0,20.37,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,
HRV,Europe,Croatia,2021-08-17,367409.0,341.0,296.286,8288.0,3.0,1.857,89496.959,83.064,72.172,2018.869,0.731,0.452,1.39,,,166.0,40.436,,,147.695,35.977,8073.0,2417389.0,588.85,1.966,7604.0,1.852,0.037,27.2,people tested,3176538.0,1682143.0,1554491.0,,6442.0,6378.0,77.38,40.98,37.87,,1554.0,33.8,4105268.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,
CUB,North America,Cuba,2021-08-17,536609.0,9772.0,8786.286,4156.0,68.0,78.286,47375.933,862.747,775.72,366.923,6.004,6.912,0.98,,,,,,,,,,,,,,,,,,12070621.0,4835460.0,3037069.0,,437983.0,174529.0,106.57,42.69,26.81,,15409.0,65.28,11326616.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,
CUW,North America,Curacao,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179277.0,94444.0,84833.0,,819.0,279.0,109.25,57.55,51.7,,1700.0,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,
CYP,Europe,Cyprus,2021-08-17,109665.0,412.0,380.571,464.0,3.0,2.429,123495.926,463.961,428.569,522.52,3.378,2.735,0.75,57.0,64.189,286.0,322.07,37.0,41.666,150.0,168.918,44374.0,10959437.0,12341.639,49.97,48191.0,54.269,0.008,119.4,tests performed,1056083.0,558543.0,497540.0,,4613.0,3409.0,118.93,62.9,56.03,,3839.0,40.74,888005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,
CZE,Europe,Czechia,2021-08-17,1676518.0,221.0,191.286,30376.0,1.0,1.0,156552.509,20.637,17.862,2836.497,0.093,0.093,1.04,12.0,1.121,52.0,4.856,24.034,2.244,92.129,8.603,94598.0,,,8.834,100317.0,9.368,0.002,500.0,tests performed,11044002.0,5839291.0,5380746.0,,33060.0,35069.0,103.13,54.53,50.25,,3275.0,,10708982.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,
COD,Africa,Democratic Republic of Congo,2021-08-17,53501.0,155.0,172.714,1050.0,0.0,0.286,597.367,1.731,1.928,11.724,0.0,0.003,1.01,,,,,,,,,2528.0,,,0.028,2301.0,0.026,0.102,9.8,samples tested,86244.0,81984.0,4260.0,,,79.0,0.1,0.09,0.0,,1.0,37.96,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,
DNK,Europe,Denmark,2021-08-17,333872.0,895.0,996.143,2564.0,2.0,1.143,57641.626,154.518,171.98,442.664,0.345,0.197,1.07,13.0,2.244,80.0,13.812,,,92.512,15.972,39326.0,38769412.0,6693.379,6.789,55498.0,9.582,0.018,55.0,tests performed,8161508.0,4341273.0,3866687.0,,51459.0,57666.0,140.91,74.95,66.76,,9956.0,35.19,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,
DJI,Africa,Djibouti,2021-08-17,11689.0,6.0,3.714,156.0,0.0,0.0,11830.948,6.073,3.759,157.894,0.0,0.0,1.45,,,,,,,,,,,,,,,,,,53064.0,32548.0,20516.0,,,365.0,5.37,3.29,2.08,,369.0,,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,
DMA,North America,Dominica,2021-08-17,953.0,0.0,77.286,,,0.0,13237.766,0.0,1073.547,,,0.0,0.18,,,,,,,,,,,,,,,,,,40795.0,21063.0,19732.0,,,17.0,56.67,29.26,27.41,,236.0,62.96,71991.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DOM,North America,Dominican Republic,2021-08-17,346510.0,51.0,239.143,3985.0,0.0,1.429,31942.576,4.701,22.045,367.352,0.0,0.132,0.84,,,,,,,,,,1875579.0,172.898,,4177.0,0.385,0.067,14.9,samples tested,10658318.0,5672922.0,4463319.0,,1333.0,22602.0,98.25,52.3,41.14,,2084.0,60.19,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,
