iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
IND,Asia,India,2021-08-17,32285857.0,35178.0,35620.857,432519.0,440.0,477.143,23395.474,25.491,25.812,313.419,0.319,0.346,0.95,,,,,,,,,1823872.0,496629524.0,359.875,1.322,1907283.0,1.382,0.019,51.6,samples tested,556520316.0,433454974.0,123065342.0,,6000278.0,5348542.0,40.33,31.41,8.92,,3876.0,74.54,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,
IDN,Asia,Indonesia,2021-08-17,3892479.0,20741.0,24808.286,120013.0,1180.0,1342.0,14230.87,75.829,90.699,438.766,4.314,4.906,0.83,,,,,,,,,146481.0,19890644.0,72.72,0.536,122700.0,0.449,0.215,4.6,people tested,84141599.0,54982550.0,29159049.0,,1233933.0,1029665.0,30.76,20.1,10.66,,3764.0,68.98,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,
OWID_INT,,International,2021-08-17,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2021-08-17,4517243.0,50228.0,39795.286,99108.0,625.0,571.0,53781.214,598.003,473.793,1179.956,7.441,6.798,1.08,,,,,,,,,93631.0,27078261.0,322.387,1.115,96984.0,1.155,0.398,2.5,tests performed,16213714.0,13061640.0,3152074.0,,,546391.0,19.3,15.55,3.75,,6505.0,,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRQ,Asia,Iraq,2021-08-17,1793372.0,8778.0,8724.857,19815.0,75.0,68.429,44586.285,218.236,216.915,492.635,1.865,1.701,0.91,,,,,,,,,41613.0,13586857.0,337.792,1.035,43848.0,1.09,0.221,4.5,samples tested,2102550.0,,,,,29698.0,5.23,,,,738.0,,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,
IRL,Europe,Ireland,2021-08-17,327684.0,1496.0,1757.0,5059.0,0.0,2.143,66362.401,302.969,355.827,1024.546,0.0,0.434,1.15,31.0,6.278,208.0,42.124,8.952,1.813,102.447,20.748,,,,,,,,,,6456918.0,3543634.0,3141316.0,,20935.0,37835.0,130.77,71.77,63.62,,7662.0,48.15,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,
IMN,Europe,Isle of Man,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125632.0,65034.0,60598.0,,30.0,20.0,147.75,76.48,71.26,,235.0,,85032.0,147.872,,,,,,,,,,,,81.4,,
ISR,Asia,Israel,2021-08-17,956310.0,8252.0,6534.429,6704.0,17.0,19.0,110485.295,953.378,754.942,774.533,1.964,2.195,1.46,130.0,15.019,926.0,106.983,611.0,70.591,1129.0,130.437,152604.0,21286782.0,2459.324,17.631,122949.0,14.205,0.048,20.7,tests performed,12421671.0,5862744.0,5426543.0,1132384.0,94128.0,77235.0,143.51,67.73,62.69,13.08,8923.0,52.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,
ITA,Europe,Italy,2021-08-17,4449606.0,5268.0,6195.0,128510.0,54.0,33.857,73593.64,87.129,102.461,2125.473,0.893,0.56,1.06,299.0,4.945,2930.0,48.46,,,960.026,15.878,160870.0,80606903.0,1333.187,2.661,204571.0,3.383,0.031,32.4,tests performed,74285684.0,40956993.0,34730168.0,,243146.0,234216.0,122.86,67.74,57.44,,3874.0,50.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
JAM,North America,Jamaica,2021-08-17,59088.0,630.0,518.857,1320.0,9.0,11.286,19954.335,212.754,175.221,445.771,3.039,3.811,1.5,,,,,,,,,1856.0,520791.0,175.874,0.627,1564.0,0.528,0.282,3.5,samples tested,391076.0,256890.0,135115.0,,,3017.0,13.21,8.68,4.56,,1019.0,66.67,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,
JPN,Asia,Japan,2021-08-17,1183525.0,19860.0,18279.857,15497.0,47.0,24.286,9357.67,157.025,144.532,122.529,0.372,0.192,1.33,,,,,,,,,104174.0,19000346.0,150.228,0.824,107039.0,0.846,0.158,6.3,people tested,113351510.0,63995377.0,49356133.0,,2300521.0,1095851.0,89.62,50.6,39.02,,8664.0,50.46,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,
JEY,Europe,Jersey,2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145657.0,75249.0,70408.0,,,219.0,144.11,74.45,69.66,,2167.0,,101073.0,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-08-17,785697.0,1066.0,954.0,10239.0,17.0,13.0,77005.412,104.478,93.501,1003.515,1.666,1.274,1.14,,,,,,,,,30370.0,8813260.0,863.779,2.977,23653.0,2.318,0.039,25.3,tests performed,5897072.0,3293871.0,2603201.0,,51443.0,39353.0,57.8,32.28,25.51,,3857.0,,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,
KAZ,Asia,Kazakhstan,2021-08-17,774760.0,7597.0,7702.571,11725.0,0.0,133.429,41261.761,404.597,410.22,624.444,0.0,7.106,1.04,,,,,,,,,,,,,,,,,,10908584.0,6138795.0,4769789.0,,97819.0,93629.0,58.1,32.69,25.4,,4986.0,62.96,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KEN,Africa,Kenya,2021-08-17,222894.0,1488.0,1305.429,4354.0,4.0,20.429,4145.222,27.673,24.277,80.973,0.074,0.38,1.14,,,,,,,,,,,,,,,,,,2053717.0,1305850.0,747867.0,,20440.0,35620.0,3.82,2.43,1.39,,662.0,72.22,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,
KIR,Oceania,Kiribati,2021-08-17,2.0,0.0,0.0,,,0.0,16.744,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,13970.0,13970.0,,,,202.0,11.7,11.7,,,1691.0,37.5,119446.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,
OWID_KOS,Europe,Kosovo,2021-08-17,118752.0,1765.0,1142.286,2291.0,5.0,2.571,61441.224,913.195,591.008,1185.343,2.587,1.33,2.26,,,,,,,,,5646.0,814832.0,421.587,2.921,6905.0,3.573,0.131,7.7,tests performed,601701.0,388422.0,213279.0,,16920.0,13841.0,31.13,20.1,11.03,,7161.0,32.41,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,,
KWT,Asia,Kuwait,2021-08-17,407139.0,256.0,382.286,2395.0,2.0,2.857,95336.142,59.945,89.516,560.816,0.468,0.669,0.67,,,,,,,,,12619.0,3565742.0,834.958,2.955,13496.0,3.16,0.04,25.2,tests performed,,2668082.0,,,,,,62.48,,,,60.19,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,
KGZ,Asia,Kyrgyzstan,2021-08-17,172668.0,341.0,385.286,2457.0,6.0,6.286,26465.81,52.267,59.055,376.598,0.92,0.963,0.74,,,,,,,,,,,,,,,,,,911632.0,610622.0,299834.0,,23903.0,19239.0,13.97,9.36,4.6,,2949.0,57.41,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,
LAO,Asia,Laos,2021-08-17,10648.0,207.0,253.143,9.0,0.0,0.143,1463.531,28.451,34.794,1.237,0.0,0.02,0.87,,,,,,,,,,,,,,,,,,3118472.0,1662994.0,1455478.0,,,84546.0,42.86,22.86,20.01,,11621.0,53.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,
LVA,Europe,Latvia,2021-08-17,140325.0,154.0,105.429,2565.0,2.0,0.571,74395.531,81.646,55.895,1359.876,1.06,0.303,1.24,,,50.0,26.508,18.786,9.96,44.493,23.589,10234.0,3212193.0,1702.995,5.426,8207.0,4.351,0.013,79.1,tests performed,1434434.0,817436.0,725750.0,,4680.0,4686.0,76.05,43.34,38.48,,2484.0,41.67,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,
LBN,Asia,Lebanon,2021-08-17,584896.0,1178.0,1562.429,7988.0,6.0,5.143,85693.498,172.59,228.912,1170.327,0.879,0.753,1.26,,,,,,,,,,,,,,,,,,2243764.0,1246189.0,997575.0,,22108.0,14763.0,32.87,18.26,14.62,,2163.0,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
LSO,Africa,Lesotho,2021-08-17,14352.0,0.0,72.429,399.0,0.0,1.143,6699.492,0.0,33.81,186.253,0.0,0.533,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
LBR,Africa,Liberia,2021-08-17,5459.0,0.0,0.0,148.0,0.0,0.0,1079.349,0.0,0.0,29.262,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,101071.0,86288.0,14783.0,,,161.0,2.0,1.71,0.29,,32.0,46.3,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
LBY,Africa,Libya,2021-08-17,286894.0,2276.0,2130.429,3956.0,23.0,25.0,41752.586,331.233,310.048,575.729,3.347,3.638,0.96,,,,,,,,,9610.0,,,1.399,,,,,samples tested,764233.0,712033.0,,,25204.0,14185.0,11.12,10.36,,,2064.0,,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,
LIE,Europe,Liechtenstein,2021-08-17,3175.0,14.0,9.714,59.0,0.0,0.0,83252.484,367.098,254.721,1547.054,0.0,0.0,1.75,,,,,,,,,98.0,59349.0,1556.205,2.57,133.0,3.487,0.069,14.5,tests performed,41213.0,21192.0,20292.0,,289.0,202.0,108.07,55.57,53.21,,5297.0,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
LTU,Europe,Lithuania,2021-08-17,290766.0,596.0,546.143,4458.0,6.0,3.571,106809.301,218.933,200.619,1637.591,2.204,1.312,1.28,,,261.0,95.875,16.563,6.084,26.306,9.663,14429.0,4364220.0,1603.142,5.3,13942.0,5.121,0.04,25.0,tests performed,2963287.0,1573929.0,1389358.0,,19268.0,17898.0,108.85,57.82,51.04,,6575.0,,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,
LUX,Europe,Luxembourg,2021-08-17,74779.0,89.0,48.857,828.0,0.0,0.429,119459.851,142.178,78.05,1322.734,0.0,0.685,0.89,7.0,11.183,21.0,33.548,,,5.999,9.583,4305.0,3357318.0,5363.333,6.877,4175.0,6.67,0.011,87.8,tests performed,747315.0,400132.0,347183.0,,1541.0,1664.0,119.38,63.92,55.46,,2658.0,37.96,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,
MAC,Asia,Macao,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561045.0,309579.0,253297.0,,4681.0,4247.0,86.4,47.68,39.01,,6540.0,,649342.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,
MDG,Africa,Madagascar,2021-08-17,42819.0,0.0,4.571,954.0,0.0,0.857,1546.314,0.0,0.165,34.452,0.0,0.031,0.5,,,,,,,,,506.0,232478.0,8.395,0.018,505.0,0.018,0.03,33.3,tests performed,,,,,,,,,,,,53.7,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MWI,Africa,Malawi,2021-08-17,58465.0,244.0,270.143,1998.0,15.0,17.714,3056.202,12.755,14.121,104.444,0.784,0.926,0.83,,,,,,,,,,,,,,,,,,729339.0,570110.0,265491.0,,591.0,12767.0,3.81,2.98,1.39,,667.0,42.59,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
MYS,Asia,Malaysia,2021-08-17,1444270.0,19631.0,20643.286,13077.0,293.0,273.571,44623.064,606.532,637.808,404.035,9.053,8.452,1.11,,,,,,,,,150590.0,24045027.0,742.91,4.653,153362.0,4.738,0.135,7.4,people tested,28837742.0,17437286.0,11400456.0,,525111.0,482551.0,89.1,53.88,35.22,,14909.0,,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MDV,Asia,Maldives,2021-08-17,79419.0,130.0,120.143,222.0,0.0,0.0,146924.753,240.499,222.264,410.699,0.0,0.0,1.0,,,,,,,,,5048.0,1271880.0,2352.972,9.339,5777.0,10.687,0.02,49.6,samples tested,645008.0,349136.0,295872.0,,6068.0,3918.0,119.33,64.59,54.74,,7248.0,,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,
MLI,Africa,Mali,2021-08-17,14701.0,4.0,7.0,535.0,0.0,0.143,725.945,0.198,0.346,26.419,0.0,0.007,1.13,,,,,,,,,,,,,,,,,,259719.0,173242.0,86477.0,,,7657.0,1.28,0.86,0.43,,378.0,8.33,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,
MLT,Europe,Malta,2021-08-17,35434.0,54.0,68.714,433.0,2.0,0.714,80251.122,122.3,155.624,980.661,4.53,1.618,0.94,,,,,0.858,1.943,22.31,50.528,3417.0,1129787.0,2558.748,7.739,3317.0,7.512,0.018,54.9,tests performed,786015.0,408546.0,405578.0,,1286.0,1262.0,178.02,92.53,91.86,,2858.0,43.52,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,
MHL,Oceania,Marshall Islands,2021-08-17,4.0,0.0,0.0,,,0.0,67.574,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,
MRT,Africa,Mauritania,2021-08-17,30635.0,281.0,273.0,647.0,2.0,4.429,6588.654,60.435,58.714,139.15,0.43,0.952,1.04,,,,,,,,,,,,,,,,,,253336.0,230641.0,22695.0,,,2394.0,5.45,4.96,0.49,,515.0,36.11,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,
MUS,Africa,Mauritius,2021-08-17,6122.0,0.0,129.0,22.0,0.0,0.143,4813.775,0.0,101.434,17.299,0.0,0.112,1.52,,,,,,,,,,,,,,,,,,1297090.0,720910.0,576180.0,,,9938.0,101.99,56.69,45.31,,7814.0,51.85,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
MEX,North America,Mexico,2021-08-17,3123252.0,14814.0,17909.571,249529.0,877.0,579.0,24223.884,114.897,138.906,1935.342,6.802,4.491,1.13,,,,,,,,,3985.0,8635667.0,66.978,0.031,31753.0,0.246,0.424,2.4,people tested,77573466.0,54532420.0,29402096.0,,348015.0,726462.0,60.17,42.3,22.8,,5634.0,67.13,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
FSM,Oceania,Micronesia (country),2021-08-17,1.0,0.0,0.0,,,0.0,8.694,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,
MDA,Europe,Moldova,2021-08-17,262589.0,345.0,227.0,6320.0,7.0,4.143,65094.548,85.524,56.272,1566.698,1.735,1.027,1.21,,,,,,,,,,1492901.0,370.083,,5617.0,1.392,0.036,27.8,tests performed,1173924.0,573001.0,584577.0,,14863.0,8892.0,29.1,14.2,14.49,,2204.0,51.85,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
MCO,Europe,Monaco,2021-08-17,3080.0,6.0,8.429,33.0,0.0,0.0,78483.335,152.89,214.774,840.893,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,44060.0,24454.0,19606.0,,,283.0,112.27,62.31,49.96,,7211.0,37.04,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MNG,Asia,Mongolia,2021-08-17,184950.0,1298.0,1341.429,884.0,4.0,3.429,56416.573,395.938,409.185,269.653,1.22,1.046,1.02,,,,,,,,,,,,,,,,,,4240587.0,2218058.0,2022529.0,,4554.0,4824.0,129.35,67.66,61.69,,1471.0,59.26,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,
MNE,Europe,Montenegro,2021-08-17,107041.0,548.0,396.714,1651.0,5.0,2.0,170430.626,872.525,631.648,2628.721,7.961,3.184,1.47,,,,,,,,,,,,,,,,,,362335.0,196475.0,165860.0,,2255.0,1847.0,57.69,31.28,26.41,,2941.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,
MSR,North America,Montserrat,2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2828.0,1460.0,1368.0,,,5.0,56.57,29.21,27.37,,1000.0,,4999.0,,,,,,,,,,,,,74.16,,
MAR,Africa,Morocco,2021-08-17,772394.0,9041.0,8755.857,11242.0,123.0,104.714,20926.099,244.943,237.218,304.574,3.332,2.837,1.15,,,,,,,,,51434.0,7454027.0,201.948,1.393,40619.0,1.1,0.231,4.3,people tested,28721160.0,16740875.0,11980285.0,,586920.0,311939.0,77.81,45.36,32.46,,8451.0,,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,
MOZ,Africa,Mozambique,2021-08-17,140071.0,1033.0,818.286,1748.0,17.0,15.286,4481.493,33.05,26.181,55.926,0.544,0.489,0.77,,,,,,,,,5604.0,789771.0,25.268,0.179,4736.0,0.152,0.244,4.1,units unclear,1487560.0,916174.0,571386.0,,,14462.0,4.76,2.93,1.83,,463.0,53.7,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,
MMR,Asia,Myanmar,2021-08-17,360291.0,3306.0,3247.143,13623.0,178.0,198.429,6621.804,60.761,59.679,250.378,3.271,3.647,0.9,,,,,,,,,13767.0,3298004.0,60.614,0.253,12631.0,0.232,0.296,3.4,samples tested,,,,,,,,,,,,66.2,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,
NAM,Africa,Namibia,2021-08-17,122699.0,154.0,170.286,3288.0,3.0,12.0,48289.278,60.608,67.017,1294.022,1.181,4.723,0.67,,,,,,,,,1567.0,631650.0,248.591,0.617,1852.0,0.729,0.125,8.0,samples tested,268556.0,187892.0,80664.0,,3837.0,5250.0,10.57,7.39,3.17,,2066.0,44.44,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,
NPL,Asia,Nepal,2021-08-17,737294.0,2456.0,2373.429,10354.0,27.0,29.143,25304.556,84.292,81.458,355.358,0.927,1.0,1.0,,,,,,,,,10806.0,3729109.0,127.986,0.371,10395.0,0.357,0.243,4.1,tests performed,8351529.0,4764856.0,3586673.0,,144528.0,155404.0,28.66,16.35,12.31,,5334.0,64.81,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,
NLD,Europe,Netherlands,2021-08-17,1939614.0,2537.0,2578.0,18234.0,7.0,8.429,113196.87,148.061,150.453,1064.146,0.409,0.492,0.84,202.0,11.789,474.0,27.663,113.198,6.606,414.404,24.185,,12083348.0,705.19,,16246.0,0.948,0.063,15.9,people tested,21656612.0,11905671.0,10532376.0,,,83080.0,126.39,69.48,61.47,,4849.0,36.11,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,
NCL,Oceania,New Caledonia,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139022.0,73556.0,65466.0,,,745.0,48.7,25.76,22.93,,2610.0,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,
NZL,Oceania,New Zealand,2021-08-17,2937.0,10.0,4.571,26.0,0.0,0.0,609.054,2.074,0.948,5.392,0.0,0.0,1.18,,,,,,,,,6059.0,2564395.0,531.786,1.256,5052.0,1.048,0.001,1448.5,tests performed,2610013.0,1655598.0,954415.0,,55688.0,45045.0,54.12,34.33,19.79,,9341.0,22.22,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,
NIC,North America,Nicaragua,2021-08-17,10251.0,0.0,0.0,197.0,0.0,0.0,1547.425,0.0,0.0,29.738,0.0,0.0,0.33,,,,,,,,,,,,,,,,,,966770.0,608713.0,358057.0,,,15778.0,14.59,9.19,5.4,,2382.0,2.78,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NER,Africa,Niger,2021-08-17,5734.0,10.0,5.286,196.0,0.0,0.0,236.877,0.413,0.218,8.097,0.0,0.0,1.07,,,,,,,,,,,,,,,,,,485954.0,401272.0,84682.0,,,8639.0,2.01,1.66,0.35,,357.0,19.44,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,
NGA,Africa,Nigeria,2021-08-17,183444.0,357.0,618.0,2229.0,6.0,5.0,889.902,1.732,2.998,10.813,0.029,0.024,1.29,,,,,,,,,,2648684.0,12.849,,7444.0,0.036,0.088,11.4,samples tested,3967013.0,2550390.0,1416623.0,,,1002.0,1.92,1.24,0.69,,5.0,43.52,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,
NIU,Oceania,Niue,2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406.0,,,,,35.0,148.7,,,,21632.0,,1618.0,,,,,,,,,,,,,73.71,,
OWID_NAM,,North America,2021-08-17,44382631.0,164727.0,175495.857,946579.0,2097.0,1548.429,74961.518,278.221,296.41,1598.756,3.542,2.615,,,,,,,,,,,,,,,,,,,533011358.0,307620780.0,236963985.0,,848430.0,2046939.0,90.02,51.96,40.02,,3457.0,,592072204.0,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-08-17,163452.0,995.0,681.571,5574.0,14.0,8.714,78455.203,477.589,327.147,2675.46,6.72,4.183,2.05,,,,,,,,,,1045431.0,501.796,,5659.0,2.716,0.108,9.2,tests performed,1033584.0,571392.0,462192.0,,16884.0,12693.0,49.61,27.43,22.18,,6093.0,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
OWID_CYN,Asia,Northern Cyprus,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302854.0,160361.0,142493.0,,,2206.0,79.23,41.95,37.28,,5771.0,,,,,,,,,,,,,,,,,
NOR,Europe,Norway,2021-08-17,145761.0,747.0,537.429,810.0,1.0,0.714,26887.012,137.791,99.134,149.412,0.184,0.132,1.3,,,33.0,6.087,5.05,0.932,31.31,5.775,8632.0,6769438.0,1248.688,1.592,16111.0,2.972,0.032,31.6,people tested,6024403.0,3770850.0,2253553.0,,32158.0,46585.0,111.13,69.56,41.57,,8593.0,47.22,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,
OWID_OCE,,Oceania,2021-08-17,102734.0,1277.0,971.143,1594.0,14.0,14.714,2407.199,29.922,22.755,37.35,0.328,0.345,,,,,,,,,,,,,,,,,,,19735950.0,12812914.0,6921846.0,,335153.0,298327.0,46.24,30.02,16.22,,6990.0,,42677809.0,,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-08-17,300581.0,173.0,234.143,4007.0,8.0,8.429,58861.024,33.878,45.851,784.667,1.567,1.651,0.68,,,,,,,,,,,,,,,,,,2951658.0,2155932.0,795726.0,,,42143.0,57.8,42.22,15.58,,8253.0,50.0,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
PAK,Asia,Pakistan,2021-08-17,1109274.0,3974.0,4130.571,24639.0,66.0,79.143,5021.786,17.991,18.699,111.543,0.299,0.358,1.02,,,,,,,,,59136.0,16950196.0,76.735,0.268,56965.0,0.258,0.075,13.3,tests performed,44322217.0,35564636.0,12658359.0,,705711.0,658601.0,20.07,16.1,5.73,,2982.0,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
PSE,Asia,Palestine,2021-08-17,321031.0,0.0,407.143,3625.0,0.0,1.429,62929.783,0.0,79.81,710.587,0.0,0.28,1.56,,,,,,,,,5040.0,,,0.988,4172.0,0.818,0.058,17.3,tests performed,1078213.0,648395.0,429818.0,,11975.0,5635.0,21.14,12.71,8.43,,1105.0,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,
PAN,North America,Panama,2021-08-17,448924.0,656.0,743.714,6970.0,8.0,7.429,104043.601,152.036,172.365,1615.382,1.854,1.722,0.92,,,,,,,,,11724.0,3474388.0,805.232,2.717,10048.0,2.329,0.084,11.9,tests performed,3539459.0,2693410.0,846049.0,,75165.0,56771.0,82.03,62.42,19.61,,13157.0,,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
