location,date,vaccine,total_vaccinations
Portugal,2021-07-23,Moderna,1235793
Portugal,2021-07-23,Oxford/AstraZeneca,2067673
Portugal,2021-07-23,Pfizer/BioNTech,7811099
Portugal,2021-07-30,Johnson&Johnson,682384
Portugal,2021-07-30,Moderna,1309254
Portugal,2021-07-30,Oxford/AstraZeneca,2124227
Portugal,2021-07-30,Pfizer/BioNTech,8178859
Portugal,2021-08-06,Johnson&Johnson,798610
Portugal,2021-08-06,Moderna,1382954
Portugal,2021-08-06,Oxford/AstraZeneca,2146721
Portugal,2021-08-06,Pfizer/BioNTech,8595176
