date,location,vaccine,total_vaccinations
2021-04-03,Uruguay,Sinovac,640230
2021-04-04,Uruguay,Oxford/AstraZeneca,49
2021-04-04,Uruguay,Pfizer/BioNTech,156108
2021-04-04,Uruguay,Sinovac,640235
2021-04-05,Uruguay,Oxford/AstraZeneca,50
2021-04-05,Uruguay,Pfizer/BioNTech,156815
2021-04-05,Uruguay,Sinovac,677838
2021-04-06,Uruguay,Oxford/AstraZeneca,51
2021-04-06,Uruguay,Pfizer/BioNTech,157481
2021-04-06,Uruguay,Sinovac,721271
2021-04-07,Uruguay,Oxford/AstraZeneca,63
2021-04-07,Uruguay,Pfizer/BioNTech,157496
2021-04-07,Uruguay,Sinovac,767371
2021-04-08,Uruguay,Oxford/AstraZeneca,63
2021-04-08,Uruguay,Pfizer/BioNTech,157520
2021-04-08,Uruguay,Sinovac,816082
2021-04-09,Uruguay,Oxford/AstraZeneca,64
2021-04-09,Uruguay,Pfizer/BioNTech,186669
2021-04-09,Uruguay,Sinovac,826692
2021-04-10,Uruguay,Oxford/AstraZeneca,64
2021-04-10,Uruguay,Pfizer/BioNTech,210041
2021-04-10,Uruguay,Sinovac,830342
2021-04-11,Uruguay,Oxford/AstraZeneca,66
2021-04-11,Uruguay,Pfizer/BioNTech,210043
2021-04-11,Uruguay,Sinovac,830704
2021-04-12,Uruguay,Oxford/AstraZeneca,68
2021-04-12,Uruguay,Pfizer/BioNTech,220810
2021-04-12,Uruguay,Sinovac,873112
2021-04-13,Uruguay,Oxford/AstraZeneca,71
2021-04-13,Uruguay,Pfizer/BioNTech,233505
2021-04-13,Uruguay,Sinovac,917634
2021-04-14,Uruguay,Oxford/AstraZeneca,74
2021-04-14,Uruguay,Pfizer/BioNTech,245817
2021-04-14,Uruguay,Sinovac,963017
2021-04-15,Uruguay,Oxford/AstraZeneca,87
2021-04-15,Uruguay,Pfizer/BioNTech,256996
2021-04-15,Uruguay,Sinovac,1015475
2021-04-16,Uruguay,Oxford/AstraZeneca,107
2021-04-16,Uruguay,Pfizer/BioNTech,267939
2021-04-16,Uruguay,Sinovac,1067291
2021-04-17,Uruguay,Oxford/AstraZeneca,19366
2021-04-17,Uruguay,Pfizer/BioNTech,271596
2021-04-17,Uruguay,Sinovac,1079701
2021-04-18,Uruguay,Oxford/AstraZeneca,34975
2021-04-18,Uruguay,Pfizer/BioNTech,271920
2021-04-18,Uruguay,Sinovac,1079904
2021-04-19,Uruguay,Oxford/AstraZeneca,35874
2021-04-19,Uruguay,Pfizer/BioNTech,287679
2021-04-19,Uruguay,Sinovac,1102103
2021-04-20,Uruguay,Oxford/AstraZeneca,36475
2021-04-20,Uruguay,Pfizer/BioNTech,307756
2021-04-20,Uruguay,Sinovac,1127122
2021-04-21,Uruguay,Oxford/AstraZeneca,37398
2021-04-21,Uruguay,Pfizer/BioNTech,325234
2021-04-21,Uruguay,Sinovac,1155277
2021-04-22,Uruguay,Oxford/AstraZeneca,38240
2021-04-22,Uruguay,Pfizer/BioNTech,337804
2021-04-22,Uruguay,Sinovac,1193021
2021-04-23,Uruguay,Oxford/AstraZeneca,39096
2021-04-23,Uruguay,Pfizer/BioNTech,353149
2021-04-23,Uruguay,Sinovac,1227956
2021-04-24,Uruguay,Oxford/AstraZeneca,39613
2021-04-24,Uruguay,Pfizer/BioNTech,362814
2021-04-24,Uruguay,Sinovac,1240088
2021-04-25,Uruguay,Oxford/AstraZeneca,39615
2021-04-25,Uruguay,Pfizer/BioNTech,362821
2021-04-25,Uruguay,Sinovac,1240596
2021-04-26,Uruguay,Oxford/AstraZeneca,40437
2021-04-26,Uruguay,Pfizer/BioNTech,376226
2021-04-26,Uruguay,Sinovac,1271594
2021-04-27,Uruguay,Oxford/AstraZeneca,41013
2021-04-27,Uruguay,Pfizer/BioNTech,389216
2021-04-27,Uruguay,Sinovac,1303012
2021-04-28,Uruguay,Oxford/AstraZeneca,41567
2021-04-28,Uruguay,Pfizer/BioNTech,402614
2021-04-28,Uruguay,Sinovac,1333353
2021-04-29,Uruguay,Oxford/AstraZeneca,42168
2021-04-29,Uruguay,Pfizer/BioNTech,415908
2021-04-29,Uruguay,Sinovac,1365601
2021-04-30,Uruguay,Oxford/AstraZeneca,42742
2021-04-30,Uruguay,Pfizer/BioNTech,430526
2021-04-30,Uruguay,Sinovac,1398204
2021-05-01,Uruguay,Oxford/AstraZeneca,42744
2021-05-01,Uruguay,Pfizer/BioNTech,430562
2021-05-01,Uruguay,Sinovac,1398220
2021-05-02,Uruguay,Oxford/AstraZeneca,42744
2021-05-02,Uruguay,Pfizer/BioNTech,430578
2021-05-02,Uruguay,Sinovac,1398385
2021-05-03,Uruguay,Oxford/AstraZeneca,42802
2021-05-03,Uruguay,Pfizer/BioNTech,444324
2021-05-03,Uruguay,Sinovac,1417185
2021-05-04,Uruguay,Oxford/AstraZeneca,42871
2021-05-04,Uruguay,Pfizer/BioNTech,456816
2021-05-04,Uruguay,Sinovac,1438605
2021-05-05,Uruguay,Oxford/AstraZeneca,43012
2021-05-05,Uruguay,Pfizer/BioNTech,467101
2021-05-05,Uruguay,Sinovac,1460608
2021-05-06,Uruguay,Oxford/AstraZeneca,43065
2021-05-06,Uruguay,Pfizer/BioNTech,476305
2021-05-06,Uruguay,Sinovac,1487926
2021-05-07,Uruguay,Oxford/AstraZeneca,43540
2021-05-07,Uruguay,Pfizer/BioNTech,485120
2021-05-07,Uruguay,Sinovac,1497727
2021-05-08,Uruguay,Oxford/AstraZeneca,43636
2021-05-08,Uruguay,Pfizer/BioNTech,488785
2021-05-08,Uruguay,Sinovac,1501079
2021-05-09,Uruguay,Oxford/AstraZeneca,43644
2021-05-09,Uruguay,Pfizer/BioNTech,488788
2021-05-09,Uruguay,Sinovac,1501428
2021-05-10,Uruguay,Oxford/AstraZeneca,43747
2021-05-10,Uruguay,Pfizer/BioNTech,495987
2021-05-10,Uruguay,Sinovac,1538330
2021-05-11,Uruguay,Oxford/AstraZeneca,43917
2021-05-11,Uruguay,Pfizer/BioNTech,501415
2021-05-11,Uruguay,Sinovac,1575753
2021-05-12,Uruguay,Oxford/AstraZeneca,44030
2021-05-12,Uruguay,Pfizer/BioNTech,508308
2021-05-12,Uruguay,Sinovac,1613214
2021-05-13,Uruguay,Oxford/AstraZeneca,44037
2021-05-13,Uruguay,Pfizer/BioNTech,521140
2021-05-13,Uruguay,Sinovac,1662956
2021-05-14,Uruguay,Oxford/AstraZeneca,44063
2021-05-14,Uruguay,Pfizer/BioNTech,533670
2021-05-14,Uruguay,Sinovac,1710786
2021-05-15,Uruguay,Oxford/AstraZeneca,44087
2021-05-15,Uruguay,Pfizer/BioNTech,537417
2021-05-15,Uruguay,Sinovac,1728449
2021-05-16,Uruguay,Oxford/AstraZeneca,44088
2021-05-16,Uruguay,Pfizer/BioNTech,537424
2021-05-16,Uruguay,Sinovac,1729059
2021-05-17,Uruguay,Oxford/AstraZeneca,44090
2021-05-17,Uruguay,Pfizer/BioNTech,545170
2021-05-17,Uruguay,Sinovac,1774636
2021-05-18,Uruguay,Oxford/AstraZeneca,44098
2021-05-18,Uruguay,Pfizer/BioNTech,552804
2021-05-18,Uruguay,Sinovac,1818900
2021-05-19,Uruguay,Oxford/AstraZeneca,44150
2021-05-19,Uruguay,Pfizer/BioNTech,555839
2021-05-19,Uruguay,Sinovac,1859822
2021-05-20,Uruguay,Oxford/AstraZeneca,44178
2021-05-20,Uruguay,Pfizer/BioNTech,564340
2021-05-20,Uruguay,Sinovac,1899085
2021-05-21,Uruguay,Oxford/AstraZeneca,44182
2021-05-21,Uruguay,Pfizer/BioNTech,577847
2021-05-21,Uruguay,Sinovac,1935060
2021-05-22,Uruguay,Oxford/AstraZeneca,44184
2021-05-22,Uruguay,Pfizer/BioNTech,578171
2021-05-22,Uruguay,Sinovac,1949433
2021-05-23,Uruguay,Oxford/AstraZeneca,44187
2021-05-23,Uruguay,Pfizer/BioNTech,578177
2021-05-23,Uruguay,Sinovac,1950894
2021-05-24,Uruguay,Oxford/AstraZeneca,44192
2021-05-24,Uruguay,Pfizer/BioNTech,587085
2021-05-24,Uruguay,Sinovac,1983740
2021-05-25,Uruguay,Oxford/AstraZeneca,44220
2021-05-25,Uruguay,Pfizer/BioNTech,595033
2021-05-25,Uruguay,Sinovac,2014762
2021-05-26,Uruguay,Oxford/AstraZeneca,44282
2021-05-26,Uruguay,Pfizer/BioNTech,605507
2021-05-26,Uruguay,Sinovac,2042730
2021-05-27,Uruguay,Oxford/AstraZeneca,44283
2021-05-27,Uruguay,Pfizer/BioNTech,618098
2021-05-27,Uruguay,Sinovac,2069711
2021-05-28,Uruguay,Oxford/AstraZeneca,44311
2021-05-28,Uruguay,Pfizer/BioNTech,631577
2021-05-28,Uruguay,Sinovac,2093449
2021-05-29,Uruguay,Oxford/AstraZeneca,44312
2021-05-29,Uruguay,Pfizer/BioNTech,647788
2021-05-29,Uruguay,Sinovac,2102250
2021-05-30,Uruguay,Oxford/AstraZeneca,44313
2021-05-30,Uruguay,Pfizer/BioNTech,647797
2021-05-30,Uruguay,Sinovac,2103622
2021-05-31,Uruguay,Oxford/AstraZeneca,44315
2021-05-31,Uruguay,Pfizer/BioNTech,660738
2021-05-31,Uruguay,Sinovac,2136892
2021-06-01,Uruguay,Oxford/AstraZeneca,44318
2021-06-01,Uruguay,Pfizer/BioNTech,673947
2021-06-01,Uruguay,Sinovac,2169571
2021-06-02,Uruguay,Oxford/AstraZeneca,44323
2021-06-02,Uruguay,Pfizer/BioNTech,686958
2021-06-02,Uruguay,Sinovac,2201589
2021-06-03,Uruguay,Oxford/AstraZeneca,44326
2021-06-03,Uruguay,Pfizer/BioNTech,699991
2021-06-03,Uruguay,Sinovac,2233031
2021-06-04,Uruguay,Oxford/AstraZeneca,44335
2021-06-04,Uruguay,Pfizer/BioNTech,713062
2021-06-04,Uruguay,Sinovac,2263843
2021-06-05,Uruguay,Oxford/AstraZeneca,44341
2021-06-05,Uruguay,Pfizer/BioNTech,716385
2021-06-05,Uruguay,Sinovac,2275246
2021-06-06,Uruguay,Oxford/AstraZeneca,44345
2021-06-06,Uruguay,Pfizer/BioNTech,716391
2021-06-06,Uruguay,Sinovac,2276190
2021-06-07,Uruguay,Oxford/AstraZeneca,44347
2021-06-07,Uruguay,Pfizer/BioNTech,721075
2021-06-07,Uruguay,Sinovac,2311843
2021-06-08,Uruguay,Oxford/AstraZeneca,44415
2021-06-08,Uruguay,Pfizer/BioNTech,724136
2021-06-08,Uruguay,Sinovac,2346623
2021-06-09,Uruguay,Oxford/AstraZeneca,44415
2021-06-09,Uruguay,Pfizer/BioNTech,739868
2021-06-09,Uruguay,Sinovac,2379677
2021-06-10,Uruguay,Oxford/AstraZeneca,44466
2021-06-10,Uruguay,Pfizer/BioNTech,755751
2021-06-10,Uruguay,Sinovac,2408075
2021-06-11,Uruguay,Oxford/AstraZeneca,44468
2021-06-11,Uruguay,Pfizer/BioNTech,766845
2021-06-11,Uruguay,Sinovac,2437153
2021-06-12,Uruguay,Oxford/AstraZeneca,44468
2021-06-12,Uruguay,Pfizer/BioNTech,775615
2021-06-12,Uruguay,Sinovac,2451510
2021-06-13,Uruguay,Oxford/AstraZeneca,44468
2021-06-13,Uruguay,Pfizer/BioNTech,775622
2021-06-13,Uruguay,Sinovac,2452710
2021-06-14,Uruguay,Oxford/AstraZeneca,44471
2021-06-14,Uruguay,Pfizer/BioNTech,790482
2021-06-14,Uruguay,Sinovac,2495373
2021-06-15,Uruguay,Oxford/AstraZeneca,44473
2021-06-15,Uruguay,Pfizer/BioNTech,805548
2021-06-15,Uruguay,Sinovac,2535102
2021-06-16,Uruguay,Oxford/AstraZeneca,44474
2021-06-16,Uruguay,Pfizer/BioNTech,821275
2021-06-16,Uruguay,Sinovac,2572581
2021-06-17,Uruguay,Oxford/AstraZeneca,44478
2021-06-17,Uruguay,Pfizer/BioNTech,832709
2021-06-17,Uruguay,Sinovac,2605515
2021-06-18,Uruguay,Oxford/AstraZeneca,44489
2021-06-18,Uruguay,Pfizer/BioNTech,847986
2021-06-18,Uruguay,Sinovac,2637966
2021-06-19,Uruguay,Oxford/AstraZeneca,44496
2021-06-19,Uruguay,Pfizer/BioNTech,850432
2021-06-19,Uruguay,Sinovac,2649971
2021-06-20,Uruguay,Oxford/AstraZeneca,44498
2021-06-20,Uruguay,Pfizer/BioNTech,850438
2021-06-20,Uruguay,Sinovac,2650952
2021-06-21,Uruguay,Oxford/AstraZeneca,44503
2021-06-21,Uruguay,Pfizer/BioNTech,865700
2021-06-21,Uruguay,Sinovac,2688105
2021-06-22,Uruguay,Oxford/AstraZeneca,44504
2021-06-22,Uruguay,Pfizer/BioNTech,880236
2021-06-22,Uruguay,Sinovac,2719945
2021-06-23,Uruguay,Oxford/AstraZeneca,44505
2021-06-23,Uruguay,Pfizer/BioNTech,894124
2021-06-23,Uruguay,Sinovac,2748754
2021-06-24,Uruguay,Oxford/AstraZeneca,44516
2021-06-24,Uruguay,Pfizer/BioNTech,907972
2021-06-24,Uruguay,Sinovac,2777089
2021-06-25,Uruguay,Oxford/AstraZeneca,44573
2021-06-25,Uruguay,Pfizer/BioNTech,921959
2021-06-25,Uruguay,Sinovac,2802115
2021-06-26,Uruguay,Oxford/AstraZeneca,44574
2021-06-26,Uruguay,Pfizer/BioNTech,925757
2021-06-26,Uruguay,Sinovac,2811264
2021-06-27,Uruguay,Oxford/AstraZeneca,44582
2021-06-27,Uruguay,Pfizer/BioNTech,925768
2021-06-27,Uruguay,Sinovac,2812476
2021-06-28,Uruguay,Oxford/AstraZeneca,44595
2021-06-28,Uruguay,Pfizer/BioNTech,942460
2021-06-28,Uruguay,Sinovac,2850213
2021-06-29,Uruguay,Oxford/AstraZeneca,44596
2021-06-29,Uruguay,Pfizer/BioNTech,959234
2021-06-29,Uruguay,Sinovac,2888093
2021-06-30,Uruguay,Oxford/AstraZeneca,44599
2021-06-30,Uruguay,Pfizer/BioNTech,975254
2021-06-30,Uruguay,Sinovac,2924884
2021-07-01,Uruguay,Oxford/AstraZeneca,44623
2021-07-01,Uruguay,Pfizer/BioNTech,991851
2021-07-01,Uruguay,Sinovac,2961748
2021-07-02,Uruguay,Oxford/AstraZeneca,44625
2021-07-02,Uruguay,Pfizer/BioNTech,1008689
2021-07-02,Uruguay,Sinovac,2999070
2021-07-03,Uruguay,Oxford/AstraZeneca,44627
2021-07-03,Uruguay,Pfizer/BioNTech,1014054
2021-07-03,Uruguay,Sinovac,3011721
2021-07-04,Uruguay,Oxford/AstraZeneca,44627
2021-07-04,Uruguay,Pfizer/BioNTech,1014057
2021-07-04,Uruguay,Sinovac,3012630
2021-07-05,Uruguay,Oxford/AstraZeneca,44628
2021-07-05,Uruguay,Pfizer/BioNTech,1029773
2021-07-05,Uruguay,Sinovac,3047715
2021-07-06,Uruguay,Oxford/AstraZeneca,44633
2021-07-06,Uruguay,Pfizer/BioNTech,1044861
2021-07-06,Uruguay,Sinovac,3081822
2021-07-07,Uruguay,Oxford/AstraZeneca,44637
2021-07-07,Uruguay,Pfizer/BioNTech,1061397
2021-07-07,Uruguay,Sinovac,3116456
2021-07-08,Uruguay,Oxford/AstraZeneca,44640
2021-07-08,Uruguay,Pfizer/BioNTech,1083977
2021-07-08,Uruguay,Sinovac,3123694
2021-07-09,Uruguay,Oxford/AstraZeneca,44645
2021-07-09,Uruguay,Pfizer/BioNTech,1105185
2021-07-09,Uruguay,Sinovac,3128227
2021-07-10,Uruguay,Oxford/AstraZeneca,44645
2021-07-10,Uruguay,Pfizer/BioNTech,1110259
2021-07-10,Uruguay,Sinovac,3129159
2021-07-11,Uruguay,Oxford/AstraZeneca,44646
2021-07-11,Uruguay,Pfizer/BioNTech,1110280
2021-07-11,Uruguay,Sinovac,3129476
2021-07-12,Uruguay,Oxford/AstraZeneca,44646
2021-07-12,Uruguay,Pfizer/BioNTech,1157524
2021-07-12,Uruguay,Sinovac,3133747
2021-07-13,Uruguay,Oxford/AstraZeneca,44655
2021-07-13,Uruguay,Pfizer/BioNTech,1197915
2021-07-13,Uruguay,Sinovac,3138119
2021-07-14,Uruguay,Oxford/AstraZeneca,44667
2021-07-14,Uruguay,Pfizer/BioNTech,1238469
2021-07-14,Uruguay,Sinovac,3141732
2021-07-15,Uruguay,Oxford/AstraZeneca,63392
2021-07-15,Uruguay,Pfizer/BioNTech,1266101
2021-07-15,Uruguay,Sinovac,3141988
2021-07-16,Uruguay,Oxford/AstraZeneca,78147
2021-07-16,Uruguay,Pfizer/BioNTech,1295799
2021-07-16,Uruguay,Sinovac,3146457
2021-07-17,Uruguay,Oxford/AstraZeneca,78149
2021-07-17,Uruguay,Pfizer/BioNTech,1301964
2021-07-17,Uruguay,Sinovac,3147048
2021-07-18,Uruguay,Oxford/AstraZeneca,78150
2021-07-18,Uruguay,Pfizer/BioNTech,1301974
2021-07-18,Uruguay,Sinovac,3147057
2021-07-19,Uruguay,Oxford/AstraZeneca,79063
2021-07-19,Uruguay,Pfizer/BioNTech,1319709
2021-07-19,Uruguay,Sinovac,3159279
2021-07-20,Uruguay,Oxford/AstraZeneca,79887
2021-07-20,Uruguay,Pfizer/BioNTech,1337368
2021-07-20,Uruguay,Sinovac,3166532
2021-07-21,Uruguay,Oxford/AstraZeneca,80647
2021-07-21,Uruguay,Pfizer/BioNTech,1355630
2021-07-21,Uruguay,Sinovac,3171220
2021-07-22,Uruguay,Oxford/AstraZeneca,81236
2021-07-22,Uruguay,Pfizer/BioNTech,1376460
2021-07-22,Uruguay,Sinovac,3177207
2021-07-23,Uruguay,Oxford/AstraZeneca,81895
2021-07-23,Uruguay,Pfizer/BioNTech,1408714
2021-07-23,Uruguay,Sinovac,3183768
2021-07-24,Uruguay,Oxford/AstraZeneca,82282
2021-07-24,Uruguay,Pfizer/BioNTech,1411539
2021-07-24,Uruguay,Sinovac,3184926
2021-07-25,Uruguay,Oxford/AstraZeneca,82283
2021-07-25,Uruguay,Pfizer/BioNTech,1412498
2021-07-25,Uruguay,Sinovac,3184932
2021-07-26,Uruguay,Oxford/AstraZeneca,82967
2021-07-26,Uruguay,Pfizer/BioNTech,1435069
2021-07-26,Uruguay,Sinovac,3193527
2021-07-27,Uruguay,Oxford/AstraZeneca,83395
2021-07-27,Uruguay,Pfizer/BioNTech,1454054
2021-07-27,Uruguay,Sinovac,3200391
2021-07-28,Uruguay,Oxford/AstraZeneca,83982
2021-07-28,Uruguay,Pfizer/BioNTech,1469215
2021-07-28,Uruguay,Sinovac,3206574
2021-07-29,Uruguay,Oxford/AstraZeneca,84681
2021-07-29,Uruguay,Pfizer/BioNTech,1482242
2021-07-29,Uruguay,Sinovac,3213028
2021-07-30,Uruguay,Oxford/AstraZeneca,85345
2021-07-30,Uruguay,Pfizer/BioNTech,1494738
2021-07-30,Uruguay,Sinovac,3219625
2021-07-31,Uruguay,Oxford/AstraZeneca,85354
2021-07-31,Uruguay,Pfizer/BioNTech,1499038
2021-07-31,Uruguay,Sinovac,3220784
2021-08-01,Uruguay,Oxford/AstraZeneca,85354
2021-08-01,Uruguay,Pfizer/BioNTech,1499038
2021-08-01,Uruguay,Sinovac,3220785
2021-08-02,Uruguay,Oxford/AstraZeneca,85375
2021-08-02,Uruguay,Pfizer/BioNTech,1514208
2021-08-02,Uruguay,Sinovac,3223919
2021-08-03,Uruguay,Oxford/AstraZeneca,85453
2021-08-03,Uruguay,Pfizer/BioNTech,1530462
2021-08-03,Uruguay,Sinovac,3226713
2021-08-04,Uruguay,Oxford/AstraZeneca,85540
2021-08-04,Uruguay,Pfizer/BioNTech,1541894
2021-08-04,Uruguay,Sinovac,3231581
2021-08-05,Uruguay,Oxford/AstraZeneca,85700
2021-08-05,Uruguay,Pfizer/BioNTech,1558307
2021-08-05,Uruguay,Sinovac,3234740
2021-08-06,Uruguay,Oxford/AstraZeneca,85861
2021-08-06,Uruguay,Pfizer/BioNTech,1573851
2021-08-06,Uruguay,Sinovac,3236186
2021-08-07,Uruguay,Oxford/AstraZeneca,85989
2021-08-07,Uruguay,Pfizer/BioNTech,1576053
2021-08-07,Uruguay,Sinovac,3236640
2021-08-08,Uruguay,Oxford/AstraZeneca,85989
2021-08-08,Uruguay,Pfizer/BioNTech,1576124
2021-08-08,Uruguay,Sinovac,3236647
2021-08-09,Uruguay,Oxford/AstraZeneca,86044
2021-08-09,Uruguay,Pfizer/BioNTech,1603831
2021-08-09,Uruguay,Sinovac,3237015
2021-08-10,Uruguay,Oxford/AstraZeneca,86124
2021-08-10,Uruguay,Pfizer/BioNTech,1627309
2021-08-10,Uruguay,Sinovac,3237241
2021-08-11,Uruguay,Oxford/AstraZeneca,86277
2021-08-11,Uruguay,Pfizer/BioNTech,1649470
2021-08-11,Uruguay,Sinovac,3237442
2021-08-12,Uruguay,Oxford/AstraZeneca,86296
2021-08-12,Uruguay,Pfizer/BioNTech,1669460
2021-08-12,Uruguay,Sinovac,3238633
2021-08-13,Uruguay,Oxford/AstraZeneca,86374
2021-08-13,Uruguay,Pfizer/BioNTech,1684806
2021-08-13,Uruguay,Sinovac,3241031
2021-08-14,Uruguay,Oxford/AstraZeneca,86376
2021-08-14,Uruguay,Pfizer/BioNTech,1686415
2021-08-14,Uruguay,Sinovac,3241035
2021-08-15,Uruguay,Oxford/AstraZeneca,86376
2021-08-15,Uruguay,Pfizer/BioNTech,1686465
2021-08-15,Uruguay,Sinovac,3241035
2021-08-16,Uruguay,Oxford/AstraZeneca,86419
2021-08-16,Uruguay,Pfizer/BioNTech,1711968
2021-08-16,Uruguay,Sinovac,3241350
