date,vaccine,total_vaccinations,location
2021-02-19,Oxford/AstraZeneca,85889,Italy
2021-02-19,Pfizer/BioNTech,3303138,Italy
2021-02-20,Moderna,91107,Italy
2021-02-20,Oxford/AstraZeneca,105218,Italy
2021-02-20,Pfizer/BioNTech,3355732,Italy
2021-02-21,Moderna,96580,Italy
2021-02-21,Oxford/AstraZeneca,115897,Italy
2021-02-21,Pfizer/BioNTech,3390626,Italy
2021-02-22,Moderna,102685,Italy
2021-02-22,Oxford/AstraZeneca,139317,Italy
2021-02-22,Pfizer/BioNTech,3466768,Italy
2021-02-23,Moderna,108022,Italy
2021-02-23,Oxford/AstraZeneca,164160,Italy
2021-02-23,Pfizer/BioNTech,3543261,Italy
2021-02-24,Moderna,114279,Italy
2021-02-24,Oxford/AstraZeneca,191529,Italy
2021-02-24,Pfizer/BioNTech,3631758,Italy
2021-02-25,Moderna,120459,Italy
2021-02-25,Oxford/AstraZeneca,223272,Italy
2021-02-25,Pfizer/BioNTech,3722373,Italy
2021-02-26,Moderna,126268,Italy
2021-02-26,Oxford/AstraZeneca,263498,Italy
2021-02-26,Pfizer/BioNTech,3814723,Italy
2021-02-27,Moderna,133335,Italy
2021-02-27,Oxford/AstraZeneca,308294,Italy
2021-02-27,Pfizer/BioNTech,3889729,Italy
2021-02-28,Moderna,136061,Italy
2021-02-28,Oxford/AstraZeneca,334980,Italy
2021-02-28,Pfizer/BioNTech,3938668,Italy
2021-03-01,Moderna,143123,Italy
2021-03-01,Oxford/AstraZeneca,375403,Italy
2021-03-01,Pfizer/BioNTech,4027048,Italy
2021-03-02,Moderna,150630,Italy
2021-03-02,Oxford/AstraZeneca,431785,Italy
2021-03-02,Pfizer/BioNTech,4125333,Italy
2021-03-03,Moderna,160553,Italy
2021-03-03,Oxford/AstraZeneca,490043,Italy
2021-03-03,Pfizer/BioNTech,4244567,Italy
2021-03-04,Moderna,171556,Italy
2021-03-04,Oxford/AstraZeneca,551172,Italy
2021-03-04,Pfizer/BioNTech,4370641,Italy
2021-03-05,Moderna,183779,Italy
2021-03-05,Oxford/AstraZeneca,617874,Italy
2021-03-05,Pfizer/BioNTech,4498075,Italy
2021-03-06,Moderna,197085,Italy
2021-03-06,Oxford/AstraZeneca,681480,Italy
2021-03-06,Pfizer/BioNTech,4598976,Italy
2021-03-07,Moderna,204930,Italy
2021-03-07,Oxford/AstraZeneca,718127,Italy
2021-03-07,Pfizer/BioNTech,4657224,Italy
2021-03-08,Moderna,217251,Italy
2021-03-08,Oxford/AstraZeneca,778436,Italy
2021-03-08,Pfizer/BioNTech,4766267,Italy
2021-03-09,Moderna,229965,Italy
2021-03-09,Oxford/AstraZeneca,841833,Italy
2021-03-09,Pfizer/BioNTech,4885569,Italy
2021-03-10,Moderna,241093,Italy
2021-03-10,Oxford/AstraZeneca,908856,Italy
2021-03-10,Pfizer/BioNTech,5023304,Italy
2021-03-11,Moderna,253413,Italy
2021-03-11,Oxford/AstraZeneca,980755,Italy
2021-03-11,Pfizer/BioNTech,5163377,Italy
2021-03-12,Moderna,263391,Italy
2021-03-12,Oxford/AstraZeneca,1053760,Italy
2021-03-12,Pfizer/BioNTech,5292654,Italy
2021-03-13,Moderna,274756,Italy
2021-03-13,Oxford/AstraZeneca,1120987,Italy
2021-03-13,Pfizer/BioNTech,5391224,Italy
2021-03-14,Moderna,281734,Italy
2021-03-14,Oxford/AstraZeneca,1161825,Italy
2021-03-14,Pfizer/BioNTech,5449433,Italy
2021-03-15,Moderna,292830,Italy
2021-03-15,Oxford/AstraZeneca,1212994,Italy
2021-03-15,Pfizer/BioNTech,5562348,Italy
2021-03-16,Moderna,304824,Italy
2021-03-16,Oxford/AstraZeneca,1213189,Italy
2021-03-16,Pfizer/BioNTech,5690557,Italy
2021-03-17,Moderna,316491,Italy
2021-03-17,Oxford/AstraZeneca,1213229,Italy
2021-03-17,Pfizer/BioNTech,5844686,Italy
2021-03-18,Moderna,329548,Italy
