location,date,vaccine,total_vaccinations
Japan,2021-06-11,Pfizer/BioNTech,26937150.0
Japan,2021-06-11,Moderna,383991.0
Japan,2021-06-12,Pfizer/BioNTech,27820931.0
Japan,2021-06-12,Moderna,416796.0
Japan,2021-06-13,Pfizer/BioNTech,28691501.0
Japan,2021-06-13,Moderna,450330.0
Japan,2021-06-14,Pfizer/BioNTech,29863084.0
Japan,2021-06-14,Moderna,485436.0
Japan,2021-06-15,Moderna,517629.0
Japan,2021-06-15,Pfizer/BioNTech,31046524.0
Japan,2021-06-16,Pfizer/BioNTech,32267486.0
Japan,2021-06-16,Moderna,550581.0
Japan,2021-06-17,Pfizer/BioNTech,33493077.0
Japan,2021-06-17,Moderna,586873.0
Japan,2021-06-18,Pfizer/BioNTech,34672198.0
Japan,2021-06-18,Moderna,618288.0
Japan,2021-06-19,Pfizer/BioNTech,35711963.0
Japan,2021-06-19,Moderna,655187.0
Japan,2021-06-20,Pfizer/BioNTech,36748404.0
Japan,2021-06-20,Moderna,694623.0
Japan,2021-06-21,Pfizer/BioNTech,38013585.0
Japan,2021-06-21,Moderna,757247.0
Japan,2021-06-22,Pfizer/BioNTech,39301052.0
Japan,2021-06-22,Moderna,815512.0
Japan,2021-06-23,Moderna,876887.0
Japan,2021-06-23,Pfizer/BioNTech,40622902.0
Japan,2021-06-24,Pfizer/BioNTech,41935996.0
Japan,2021-06-24,Moderna,931418.0
Japan,2021-06-25,Pfizer/BioNTech,43232664.0
Japan,2021-06-25,Moderna,995866.0
Japan,2021-06-26,Pfizer/BioNTech,44428400.0
Japan,2021-06-26,Moderna,1057990.0
Japan,2021-06-27,Pfizer/BioNTech,45612807.0
Japan,2021-06-27,Moderna,1120331.0
Japan,2021-06-28,Pfizer/BioNTech,46917782.0
Japan,2021-06-28,Moderna,1202251.0
Japan,2021-06-29,Pfizer/BioNTech,48255821.0
Japan,2021-06-29,Moderna,1285594.0
Japan,2021-06-30,Pfizer/BioNTech,49592814.0
Japan,2021-06-30,Moderna,1374054.0
Japan,2021-07-01,Pfizer/BioNTech,50701677.0
Japan,2021-07-01,Moderna,1461590.0
Japan,2021-07-02,Moderna,1551670.0
Japan,2021-07-02,Pfizer/BioNTech,51747435.0
Japan,2021-07-03,Pfizer/BioNTech,52983088.0
Japan,2021-07-03,Moderna,1652274.0
Japan,2021-07-04,Pfizer/BioNTech,54165967.0
Japan,2021-07-04,Moderna,1738278.0
Japan,2021-07-05,Pfizer/BioNTech,55494393.0
Japan,2021-07-05,Moderna,1852346.0
Japan,2021-07-06,Pfizer/BioNTech,56857150.0
Japan,2021-07-06,Moderna,1961607.0
Japan,2021-07-07,Pfizer/BioNTech,58210908.0
Japan,2021-07-07,Moderna,2071567.0
Japan,2021-07-08,Pfizer/BioNTech,59542374.0
Japan,2021-07-08,Moderna,2189462.0
Japan,2021-07-09,Pfizer/BioNTech,60858993.0
Japan,2021-07-09,Moderna,2311522.0
Japan,2021-07-10,Moderna,2444569.0
Japan,2021-07-10,Pfizer/BioNTech,62180920.0
Japan,2021-07-11,Pfizer/BioNTech,63327983.0
Japan,2021-07-11,Moderna,2562935.0
Japan,2021-07-12,Pfizer/BioNTech,64563060.0
Japan,2021-07-12,Moderna,2694487.0
Japan,2021-07-13,Pfizer/BioNTech,65794922.0
Japan,2021-07-13,Moderna,2825239.0
Japan,2021-07-14,Moderna,2949342.0
Japan,2021-07-14,Pfizer/BioNTech,67026586.0
Japan,2021-07-15,Pfizer/BioNTech,68220083.0
Japan,2021-07-15,Moderna,3071646.0
Japan,2021-07-16,Pfizer/BioNTech,69415761.0
Japan,2021-07-16,Moderna,3197502.0
Japan,2021-07-17,Pfizer/BioNTech,70617414.0
Japan,2021-07-17,Moderna,3323965.0
Japan,2021-07-18,Moderna,3442470.0
Japan,2021-07-18,Pfizer/BioNTech,71691340.0
Japan,2021-07-19,Moderna,3594456.0
Japan,2021-07-19,Pfizer/BioNTech,72565446.0
Japan,2021-07-20,Pfizer/BioNTech,73694601.0
Japan,2021-07-20,Moderna,3742299.0
Japan,2021-07-21,Pfizer/BioNTech,74787316.0
Japan,2021-07-21,Moderna,3898766.0
Japan,2021-07-22,Pfizer/BioNTech,75223041.0
Japan,2021-07-22,Moderna,4006790.0
Japan,2021-07-23,Pfizer/BioNTech,75524890.0
Japan,2021-07-23,Moderna,4112667.0
Japan,2021-07-24,Pfizer/BioNTech,76492896.0
Japan,2021-07-24,Moderna,4257016.0
Japan,2021-07-25,Pfizer/BioNTech,77390382.0
Japan,2021-07-25,Moderna,4395332.0
Japan,2021-07-26,Pfizer/BioNTech,78438509.0
Japan,2021-07-26,Moderna,4549315.0
Japan,2021-07-27,Moderna,4702489.0
Japan,2021-07-27,Pfizer/BioNTech,79516259.0
Japan,2021-07-28,Pfizer/BioNTech,80604819.0
Japan,2021-07-28,Moderna,4844563.0
