location,date,vaccine,total_vaccinations
Croatia,2021-07-30,Pfizer/BioNTech,2184377
Croatia,2021-08-06,Johnson&Johnson,55801
Croatia,2021-08-06,Moderna,306196
Croatia,2021-08-06,Oxford/AstraZeneca,542481
Croatia,2021-08-06,Pfizer/BioNTech,2214008
Croatia,2021-08-13,Johnson&Johnson,59517
Croatia,2021-08-13,Moderna,309819
Croatia,2021-08-13,Oxford/AstraZeneca,543723
Croatia,2021-08-13,Pfizer/BioNTech,2244239
Croatia,2021-08-17,Johnson&Johnson,59920
Croatia,2021-08-17,Moderna,309999
Croatia,2021-08-17,Oxford/AstraZeneca,543862
Croatia,2021-08-17,Pfizer/BioNTech,2247795
