date,total_vaccinations,vaccine,location
2021-05-12,147414,Johnson&Johnson,France
2021-05-13,148902,Johnson&Johnson,France
2021-05-14,156561,Johnson&Johnson,France
2021-05-15,160205,Johnson&Johnson,France
2021-05-16,160583,Johnson&Johnson,France
2021-05-17,164961,Johnson&Johnson,France
2021-05-18,173621,Johnson&Johnson,France
2021-05-19,179209,Johnson&Johnson,France
2021-05-20,188523,Johnson&Johnson,France
2021-05-21,201166,Johnson&Johnson,France
2021-05-22,206139,Johnson&Johnson,France
2021-05-23,206586,Johnson&Johnson,France
2021-05-24,207555,Johnson&Johnson,France
2021-05-25,215028,Johnson&Johnson,France
2021-05-26,222651,Johnson&Johnson,France
2021-05-27,236865,Johnson&Johnson,France
2021-05-28,263305,Johnson&Johnson,France
2021-05-29,274549,Johnson&Johnson,France
2021-05-30,275421,Johnson&Johnson,France
2021-05-31,287924,Johnson&Johnson,France
2021-06-01,307932,Johnson&Johnson,France
2021-06-02,322275,Johnson&Johnson,France
2021-06-03,341533,Johnson&Johnson,France
2021-06-04,363811,Johnson&Johnson,France
2021-06-05,373427,Johnson&Johnson,France
2021-06-06,374368,Johnson&Johnson,France
2021-06-07,383370,Johnson&Johnson,France
2021-06-08,397799,Johnson&Johnson,France
2021-06-09,409836,Johnson&Johnson,France
2021-06-10,425026,Johnson&Johnson,France
2021-06-11,441831,Johnson&Johnson,France
2021-06-12,449173,Johnson&Johnson,France
2021-06-13,450023,Johnson&Johnson,France
2021-06-14,456522,Johnson&Johnson,France
2021-06-15,467275,Johnson&Johnson,France
2021-06-16,476011,Johnson&Johnson,France
2021-06-17,486725,Johnson&Johnson,France
2021-06-18,498993,Johnson&Johnson,France
2021-06-19,504473,Johnson&Johnson,France
2021-06-20,505087,Johnson&Johnson,France
2021-06-21,509988,Johnson&Johnson,France
2021-06-22,517704,Johnson&Johnson,France
2021-06-23,524641,Johnson&Johnson,France
2021-06-24,533132,Johnson&Johnson,France
2021-06-25,543078,Johnson&Johnson,France
2021-06-26,547732,Johnson&Johnson,France
2021-06-27,548337,Johnson&Johnson,France
2021-06-28,552914,Johnson&Johnson,France
2021-06-29,559693,Johnson&Johnson,France
2021-06-30,566135,Johnson&Johnson,France
2021-07-01,574023,Johnson&Johnson,France
2021-07-02,583232,Johnson&Johnson,France
2021-07-03,587938,Johnson&Johnson,France
2021-07-04,588515,Johnson&Johnson,France
2021-07-05,593104,Johnson&Johnson,France
2021-07-06,600581,Johnson&Johnson,France
2021-07-07,607339,Johnson&Johnson,France
2021-07-08,616321,Johnson&Johnson,France
2021-07-09,626377,Johnson&Johnson,France
2021-07-10,630846,Johnson&Johnson,France
2021-07-11,631342,Johnson&Johnson,France
2021-07-12,636980,Johnson&Johnson,France
2021-07-13,650997,Johnson&Johnson,France
2021-07-14,653057,Johnson&Johnson,France
2021-07-15,671037,Johnson&Johnson,France
2021-07-16,693580,Johnson&Johnson,France
2021-07-17,703108,Johnson&Johnson,France
2021-07-18,704371,Johnson&Johnson,France
2021-07-19,717092,Johnson&Johnson,France
2021-07-20,734172,Johnson&Johnson,France
2021-07-21,749467,Johnson&Johnson,France
2021-07-22,767417,Johnson&Johnson,France
2021-07-23,787473,Johnson&Johnson,France
2021-07-24,796499,Johnson&Johnson,France
2021-07-25,797688,Johnson&Johnson,France
2021-07-26,808307,Johnson&Johnson,France
2021-07-27,822423,Johnson&Johnson,France
2021-07-28,834700,Johnson&Johnson,France
2021-07-29,848391,Johnson&Johnson,France
2021-07-30,863489,Johnson&Johnson,France
2021-07-31,870021,Johnson&Johnson,France
2021-08-01,870775,Johnson&Johnson,France
2021-08-02,877799,Johnson&Johnson,France
2021-08-03,887602,Johnson&Johnson,France
2021-08-04,896233,Johnson&Johnson,France
2021-08-05,905083,Johnson&Johnson,France
2021-08-06,914475,Johnson&Johnson,France
2021-08-07,918857,Johnson&Johnson,France
2021-08-08,919503,Johnson&Johnson,France
2021-08-09,924776,Johnson&Johnson,France
2021-08-10,932566,Johnson&Johnson,France
