date,total_vaccinations,source_url,media_url,text
2021-05-02,,https://twitter.com/FMoHealth/status/1388916322294194186,https://pbs.twimg.com/media/E0ZsCJ8XIAo1HQ-.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 1,778 የላቦራቶሪ ናሙና ምርመራ 322 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 258,384 ደርሷል። 
Status update on #covid19ethiopia https://t.co/ofgwY20jzy"
2021-05-03,,https://twitter.com/FMoHealth/status/1389291010631557123,https://pbs.twimg.com/media/E0fAz1VWYAMxya6.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 4,008 የላቦራቶሪ ናሙና ምርመራ 429 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 258,813 ደርሷል። 
Status update on #covid19ethiopia https://t.co/gSrIRVYVyM"
2021-05-04,,https://twitter.com/FMoHealth/status/1389648165104664583,https://pbs.twimg.com/media/E0kFpAGXIAQYq6x.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 3,638 የላቦራቶሪ ናሙና ምርመራ 541 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 259,354 ደርሷል። 
Status update on #covid19ethiopia https://t.co/Em75tupj0a"
2021-05-05,,https://twitter.com/FMoHealth/status/1390004366476709897,https://pbs.twimg.com/media/E0pJmqQWYAAhk6_.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 5,733 የላቦራቶሪ ናሙና ምርመራ 785 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 260,139 ደርሷል። 
Status update on #covid19ethiopia https://t.co/Ck7XPRntCa"
2021-05-06,,https://twitter.com/FMoHealth/status/1390375821261643776,https://pbs.twimg.com/media/E0ubcK9WYAYtYrm.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 3,914 የላቦራቶሪ ናሙና ምርመራ 663 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 260,802 ደርሷል። 
Status update on #covid19ethiopia https://t.co/0Cl8l5OHYq"
2021-05-07,,https://twitter.com/FMoHealth/status/1390729190807384069,https://pbs.twimg.com/media/E0zc0oxXsAQlaut.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 5,521 የላቦራቶሪ ናሙና ምርመራ 778 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 261,580 ደርሷል። 
Status update on #covid19ethiopia https://t.co/AN8IVLeuD0"
2021-05-08,,https://twitter.com/FMoHealth/status/1391088742706950146,https://pbs.twimg.com/media/E04j0rDWEAQdGjY.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 5,393 የላቦራቶሪ ናሙና ምርመራ 637 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 262,217 ደርሷል። 
Status update on #covid19ethiopia https://t.co/uV6YSbMrYb"
2021-05-09,,https://twitter.com/FMoHealth/status/1391441441013092355,https://pbs.twimg.com/media/E09kRDMWQAMLpZ5.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 5,303 የላቦራቶሪ ናሙና ምርመራ 485 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 262,702 ደርሷል። 
Status update on #covid19ethiopia https://t.co/mvGfhyirl9"
2021-05-10,,https://twitter.com/FMoHealth/status/1391818755857166337,https://pbs.twimg.com/media/E1C7xskXMAIvHxd.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 3,583 የላቦራቶሪ ናሙና ምርመራ 418 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 263,120 ደርሷል። 
Status update on #covid19ethiopia https://t.co/HXiEdI77UB"
2021-05-11,,https://twitter.com/FMoHealth/status/1392168331940175873,https://pbs.twimg.com/media/E1H5ndhWUAkN7jq.jpg,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 4,776 የላቦራቶሪ ናሙና ምርመራ 552 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 263,672 ደርሷል።
Status update on #covid19ethiopia https://t.co/VgjCp3GvsD"
