date,age_group_min,age_group_max,total_vaccinations,location
2021-03-03,41,50,355664.0,Chile
2021-03-03,21,30,361063.0,Chile
2021-03-03,31,40,477838.0,Chile
2021-03-03,73,74,187497.0,Chile
2021-03-03,15,20,20629.0,Chile
2021-03-03,80,,478362.0,Chile
2021-03-03,71,72,207052.0,Chile
2021-03-03,61,70,1164316.0,Chile
2021-03-04,78,79,138454.0,Chile
2021-03-04,41,50,374551.0,Chile
2021-03-04,31,40,511897.0,Chile
2021-03-04,80,,533774.0,Chile
2021-03-04,71,72,213146.0,Chile
2021-03-04,15,20,22003.0,Chile
2021-03-04,61,70,1265585.0,Chile
2021-03-04,21,30,411197.0,Chile
2021-03-04,73,74,193276.0,Chile
2021-03-04,51,60,356326.0,Chile
2021-03-04,75,77,249815.0,Chile
2021-03-05,21,30,446123.0,Chile
2021-03-05,41,50,391601.0,Chile
2021-03-05,15,20,24041.0,Chile
2021-03-05,73,74,200527.0,Chile
2021-03-05,61,70,1312590.0,Chile
2021-03-05,51,60,435551.0,Chile
2021-03-05,31,40,541329.0,Chile
2021-03-05,71,72,220703.0,Chile
2021-03-05,80,,589408.0,Chile
2021-03-05,75,77,260312.0,Chile
2021-03-05,78,79,145227.0,Chile
2021-03-06,31,40,545739.0,Chile
2021-03-06,73,74,202384.0,Chile
2021-03-06,71,72,222640.0,Chile
2021-03-06,15,20,24408.0,Chile
2021-03-06,80,,597939.0,Chile
2021-03-06,78,79,146877.0,Chile
2021-03-06,75,77,263106.0,Chile
2021-03-06,51,60,442870.0,Chile
2021-03-06,41,50,394617.0,Chile
2021-03-06,21,30,450968.0,Chile
2021-03-06,61,70,1321698.0,Chile
2021-03-07,80,,600154.0,Chile
2021-03-07,51,60,444007.0,Chile
2021-03-07,71,72,223454.0,Chile
2021-03-07,75,77,264143.0,Chile
2021-03-07,31,40,546585.0,Chile
2021-03-07,15,20,24461.0,Chile
2021-03-07,21,30,451798.0,Chile
2021-03-07,73,74,203077.0,Chile
2021-03-07,41,50,395298.0,Chile
2021-03-07,61,70,1324481.0,Chile
2021-03-07,78,79,147466.0,Chile
2021-03-08,73,74,213438.0,Chile
2021-03-08,71,72,233774.0,Chile
2021-03-08,75,77,279394.0,Chile
2021-03-08,61,70,1360355.0,Chile
2021-03-08,78,79,158757.0,Chile
2021-03-08,80,,687975.0,Chile
2021-03-08,41,50,412315.0,Chile
2021-03-08,51,60,541244.0,Chile
2021-03-08,15,20,25985.0,Chile
2021-03-08,21,30,469537.0,Chile
2021-03-08,31,40,565709.0,Chile
2021-03-09,51,60,583408.0,Chile
2021-03-09,41,50,420335.0,Chile
2021-03-09,71,72,238490.0,Chile
2021-03-09,21,30,476696.0,Chile
2021-03-09,73,74,218333.0,Chile
2021-03-09,80,,708800.0,Chile
2021-03-09,15,20,26819.0,Chile
2021-03-09,75,77,288365.0,Chile
2021-03-09,61,70,1374850.0,Chile
2021-03-09,78,79,179712.0,Chile
2021-03-09,31,40,573875.0,Chile
2021-03-10,21,30,511173.0,Chile
2021-03-10,41,50,463435.0,Chile
2021-03-10,75,77,393797.0,Chile
2021-03-10,78,79,224030.0,Chile
2021-03-10,73,74,246101.0,Chile
2021-03-10,15,20,29796.0,Chile
2021-03-10,80,,766256.0,Chile
2021-03-10,51,60,765966.0,Chile
2021-03-10,71,72,261651.0,Chile
2021-03-10,61,70,1443664.0,Chile
2021-03-10,31,40,616343.0,Chile
2021-03-11,73,74,313527.0,Chile
2021-03-11,75,77,417652.0,Chile
2021-03-11,71,72,282559.0,Chile
2021-03-11,61,70,1491639.0,Chile
2021-03-11,31,40,644952.0,Chile
2021-03-11,21,30,533235.0,Chile
2021-03-11,80,,786586.0,Chile
2021-03-11,15,20,31955.0,Chile
2021-03-11,51,60,888973.0,Chile
2021-03-11,41,50,511154.0,Chile
2021-03-11,78,79,232170.0,Chile
2021-03-12,78,79,238095.0,Chile
2021-03-12,31,40,670907.0,Chile
2021-03-12,15,20,33945.0,Chile
2021-03-12,73,74,330330.0,Chile
2021-03-12,71,72,353087.0,Chile
2021-03-12,75,77,430212.0,Chile
2021-03-12,80,,802917.0,Chile
2021-03-12,41,50,597933.0,Chile
2021-03-12,61,70,1547465.0,Chile
2021-03-12,51,60,957379.0,Chile
2021-03-12,21,30,553979.0,Chile
2021-03-13,78,79,239073.0,Chile
2021-03-13,21,30,558180.0,Chile
2021-03-13,61,70,1559093.0,Chile
2021-03-13,73,74,332380.0,Chile
2021-03-13,41,50,609753.0,Chile
2021-03-13,15,20,34646.0,Chile
2021-03-13,71,72,357684.0,Chile
2021-03-13,80,,806523.0,Chile
2021-03-13,31,40,676545.0,Chile
2021-03-13,51,60,975813.0,Chile
2021-03-13,75,77,432253.0,Chile
2021-03-14,71,72,358130.0,Chile
2021-03-14,80,,807213.0,Chile
2021-03-14,73,74,332665.0,Chile
2021-03-14,31,40,677284.0,Chile
2021-03-14,15,20,34708.0,Chile
2021-03-14,51,60,978355.0,Chile
2021-03-14,41,50,611252.0,Chile
2021-03-14,75,77,432579.0,Chile
2021-03-14,78,79,239238.0,Chile
2021-03-14,21,30,558765.0,Chile
2021-03-14,61,70,1561599.0,Chile
2021-03-15,51,60,1042411.0,Chile
2021-03-15,21,30,578980.0,Chile
2021-03-15,41,50,700227.0,Chile
2021-03-15,31,40,708718.0,Chile
2021-03-15,71,72,372928.0,Chile
2021-03-15,78,79,243445.0,Chile
2021-03-15,61,70,1709958.0,Chile
2021-03-15,80,,819125.0,Chile
2021-03-15,15,20,36975.0,Chile
2021-03-15,75,77,441072.0,Chile
2021-03-15,73,74,340981.0,Chile
2021-03-16,41,50,772392.0,Chile
2021-03-16,31,40,785531.0,Chile
2021-03-16,75,77,448255.0,Chile
2021-03-16,21,30,604399.0,Chile
2021-03-16,61,70,1836765.0,Chile
2021-03-16,51,60,1113747.0,Chile
2021-03-16,15,20,39878.0,Chile
2021-03-16,71,72,381554.0,Chile
2021-03-16,80,,830994.0,Chile
2021-03-16,78,79,247123.0,Chile
2021-03-16,73,74,347376.0,Chile
2021-03-17,21,30,635718.0,Chile
2021-03-17,51,60,1165320.0,Chile
2021-03-17,15,20,43066.0,Chile
2021-03-17,41,50,836234.0,Chile
2021-03-17,80,,841084.0,Chile
2021-03-17,78,79,250181.0,Chile
2021-03-17,71,72,387735.0,Chile
2021-03-17,61,70,1951859.0,Chile
2021-03-17,31,40,862201.0,Chile
2021-03-17,75,77,453959.0,Chile
2021-03-17,73,74,352172.0,Chile
2021-03-18,75,77,458880.0,Chile
2021-03-18,80,,850336.0,Chile
2021-03-18,31,40,909237.0,Chile
2021-03-18,21,30,701589.0,Chile
2021-03-18,71,72,392766.0,Chile
2021-03-18,51,60,1206967.0,Chile
2021-03-18,41,50,888608.0,Chile
2021-03-18,15,20,47216.0,Chile
2021-03-18,61,70,2052581.0,Chile
2021-03-18,78,79,252824.0,Chile
2021-03-18,73,74,356312.0,Chile
2021-03-19,61,70,2148824.0,Chile
2021-03-19,21,30,739386.0,Chile
2021-03-19,51,60,1245525.0,Chile
2021-03-19,75,77,463247.0,Chile
2021-03-19,73,74,359934.0,Chile
2021-03-19,15,20,71362.0,Chile
2021-03-19,78,79,255071.0,Chile
2021-03-19,71,72,397226.0,Chile
2021-03-19,31,40,948945.0,Chile
2021-03-19,80,,858560.0,Chile
2021-03-19,41,50,930141.0,Chile
2021-03-20,61,70,2157602.0,Chile
2021-03-20,31,40,957128.0,Chile
2021-03-20,41,50,938497.0,Chile
2021-03-20,15,20,73945.0,Chile
2021-03-20,73,74,360463.0,Chile
2021-03-20,75,77,463895.0,Chile
2021-03-20,80,,860052.0,Chile
2021-03-20,21,30,746233.0,Chile
2021-03-20,78,79,255370.0,Chile
2021-03-20,51,60,1253073.0,Chile
2021-03-20,71,72,397852.0,Chile
2021-03-21,75,77,464015.0,Chile
2021-03-21,15,20,74280.0,Chile
2021-03-21,71,72,397938.0,Chile
2021-03-21,21,30,747231.0,Chile
