location,date,age_group_min,age_group_max,people_vaccinated
United States,2021-05-24,40,49,21346008
United States,2021-05-24,50,64,40331504
United States,2021-05-24,65,74,25774888
United States,2021-05-24,75,,17898720
United States,2021-05-25,0,18,4955799
United States,2021-05-25,1,29,20764178
United States,2021-05-25,30,39,20627563
United States,2021-05-25,40,49,21402044
United States,2021-05-25,50,64,40400247
United States,2021-05-25,65,74,25792080
United States,2021-05-25,75,,17907017
United States,2021-05-26,0,18,5116615
United States,2021-05-26,1,29,20889559
United States,2021-05-26,30,39,20720282
United States,2021-05-26,40,49,21488653
United States,2021-05-26,50,64,40515518
United States,2021-05-26,65,74,25826053
United States,2021-05-26,75,,17926109
United States,2021-05-27,0,18,5286364
United States,2021-05-27,1,29,21023149
United States,2021-05-27,30,39,20808695
United States,2021-05-27,40,49,21568927
United States,2021-05-27,50,64,40595531
United States,2021-05-27,65,74,25850625
United States,2021-05-27,75,,17938698
United States,2021-05-28,0,18,5425121
United States,2021-05-28,1,29,21152928
United States,2021-05-28,30,39,20899694
United States,2021-05-28,40,49,21649076
United States,2021-05-28,50,64,40702066
United States,2021-05-28,65,74,25882888
United States,2021-05-28,75,,17956446
United States,2021-05-29,0,18,5594236
United States,2021-05-29,1,29,21306118
United States,2021-05-29,30,39,21009458
United States,2021-05-29,40,49,21745563
United States,2021-05-29,50,64,40827260
United States,2021-05-29,65,74,25919647
United States,2021-05-29,75,,17976991
United States,2021-05-30,0,18,5719534
United States,2021-05-30,1,29,21416937
United States,2021-05-30,30,39,21092474
United States,2021-05-30,40,49,21819715
United States,2021-05-30,50,64,40922111
United States,2021-05-30,65,74,25945931
United States,2021-05-30,75,,17991001
United States,2021-05-31,0,18,5821109
United States,2021-05-31,1,29,21514614
United States,2021-05-31,30,39,21169118
United States,2021-05-31,40,49,21890582
United States,2021-05-31,50,64,41009142
United States,2021-05-31,65,74,25967808
United States,2021-05-31,75,,18001558
United States,2021-06-01,0,18,5870686
United States,2021-06-01,1,29,21567247
United States,2021-06-01,30,39,21208532
United States,2021-06-01,40,49,21926411
United States,2021-06-01,50,64,41054019
United States,2021-06-01,65,74,25977693
United States,2021-06-01,75,,18006319
United States,2021-06-02,0,18,5914798
United States,2021-06-02,1,29,21616273
United States,2021-06-02,30,39,21245019
United States,2021-06-02,40,49,21958934
United States,2021-06-02,50,64,41094224
United States,2021-06-02,65,74,25988282
United States,2021-06-02,75,,18011961
United States,2021-06-03,0,18,5980468
United States,2021-06-03,1,29,21682841
United States,2021-06-03,30,39,21293755
United States,2021-06-03,40,49,22002647
United States,2021-06-03,50,64,41151342
United States,2021-06-03,65,74,26006412
United States,2021-06-03,75,,18022673
United States,2021-06-04,0,18,6095807
United States,2021-06-04,1,29,21810625
United States,2021-06-04,30,39,21387312
United States,2021-06-04,40,49,22086133
United States,2021-06-04,50,64,41265311
United States,2021-06-04,65,74,26040867
United States,2021-06-04,75,,18043425
United States,2021-06-05,0,18,6190619
United States,2021-06-05,1,29,21921416
United States,2021-06-05,30,39,21466943
