date,location,vaccine,total_vaccinations
2021-04-03,Uruguay,Sinovac,640195
2021-04-04,Uruguay,Oxford/AstraZeneca,41
2021-04-04,Uruguay,Pfizer/BioNTech,155913
2021-04-04,Uruguay,Sinovac,640200
2021-04-05,Uruguay,Oxford/AstraZeneca,42
2021-04-05,Uruguay,Pfizer/BioNTech,156617
2021-04-05,Uruguay,Sinovac,677782
2021-04-06,Uruguay,Oxford/AstraZeneca,42
2021-04-06,Uruguay,Pfizer/BioNTech,157279
2021-04-06,Uruguay,Sinovac,721191
2021-04-07,Uruguay,Oxford/AstraZeneca,54
2021-04-07,Uruguay,Pfizer/BioNTech,157290
2021-04-07,Uruguay,Sinovac,767274
2021-04-08,Uruguay,Oxford/AstraZeneca,54
2021-04-08,Uruguay,Pfizer/BioNTech,157309
2021-04-08,Uruguay,Sinovac,815962
2021-04-09,Uruguay,Oxford/AstraZeneca,54
2021-04-09,Uruguay,Pfizer/BioNTech,186442
2021-04-09,Uruguay,Sinovac,826561
2021-04-10,Uruguay,Oxford/AstraZeneca,54
2021-04-10,Uruguay,Pfizer/BioNTech,209799
2021-04-10,Uruguay,Sinovac,830220
2021-04-11,Uruguay,Oxford/AstraZeneca,55
2021-04-11,Uruguay,Pfizer/BioNTech,209801
2021-04-11,Uruguay,Sinovac,830580
2021-04-12,Uruguay,Oxford/AstraZeneca,55
2021-04-12,Uruguay,Pfizer/BioNTech,220560
2021-04-12,Uruguay,Sinovac,872996
2021-04-13,Uruguay,Oxford/AstraZeneca,56
2021-04-13,Uruguay,Pfizer/BioNTech,233244
2021-04-13,Uruguay,Sinovac,917514
2021-04-14,Uruguay,Oxford/AstraZeneca,57
2021-04-14,Uruguay,Pfizer/BioNTech,245542
2021-04-14,Uruguay,Sinovac,962922
2021-04-15,Uruguay,Oxford/AstraZeneca,58
2021-04-15,Uruguay,Pfizer/BioNTech,256709
2021-04-15,Uruguay,Sinovac,1015335
2021-04-16,Uruguay,Oxford/AstraZeneca,58
2021-04-16,Uruguay,Pfizer/BioNTech,267649
2021-04-16,Uruguay,Sinovac,1067099
2021-04-17,Uruguay,Oxford/AstraZeneca,18775
2021-04-17,Uruguay,Pfizer/BioNTech,271314
2021-04-17,Uruguay,Sinovac,1079644
2021-04-18,Uruguay,Oxford/AstraZeneca,33818
2021-04-18,Uruguay,Pfizer/BioNTech,271628
2021-04-18,Uruguay,Sinovac,1079883
2021-04-19,Uruguay,Oxford/AstraZeneca,34716
2021-04-19,Uruguay,Pfizer/BioNTech,287356
2021-04-19,Uruguay,Sinovac,1102072
2021-04-20,Uruguay,Oxford/AstraZeneca,35311
2021-04-20,Uruguay,Pfizer/BioNTech,307415
2021-04-20,Uruguay,Sinovac,1127108
2021-04-21,Uruguay,Oxford/AstraZeneca,36156
2021-04-21,Uruguay,Pfizer/BioNTech,324885
2021-04-21,Uruguay,Sinovac,1155252
2021-04-22,Uruguay,Oxford/AstraZeneca,36991
2021-04-22,Uruguay,Pfizer/BioNTech,337432
2021-04-22,Uruguay,Sinovac,1193049
2021-04-23,Uruguay,Oxford/AstraZeneca,37843
2021-04-23,Uruguay,Pfizer/BioNTech,352769
2021-04-23,Uruguay,Sinovac,1227949
2021-04-24,Uruguay,Oxford/AstraZeneca,38351
2021-04-24,Uruguay,Pfizer/BioNTech,362422
2021-04-24,Uruguay,Sinovac,1240101
2021-04-25,Uruguay,Oxford/AstraZeneca,38351
2021-04-25,Uruguay,Pfizer/BioNTech,362425
2021-04-25,Uruguay,Sinovac,1240611
2021-04-26,Uruguay,Oxford/AstraZeneca,39162
2021-04-26,Uruguay,Pfizer/BioNTech,375800
2021-04-26,Uruguay,Sinovac,1271592
2021-04-27,Uruguay,Oxford/AstraZeneca,39734
2021-04-27,Uruguay,Pfizer/BioNTech,388783
2021-04-27,Uruguay,Sinovac,1303008
2021-04-28,Uruguay,Oxford/AstraZeneca,40286
2021-04-28,Uruguay,Pfizer/BioNTech,402157
2021-04-28,Uruguay,Sinovac,1333356
2021-04-29,Uruguay,Oxford/AstraZeneca,40879
2021-04-29,Uruguay,Pfizer/BioNTech,415439
2021-04-29,Uruguay,Sinovac,1365588
2021-04-30,Uruguay,Oxford/AstraZeneca,41450
2021-04-30,Uruguay,Pfizer/BioNTech,430044
2021-04-30,Uruguay,Sinovac,1398177
2021-05-01,Uruguay,Oxford/AstraZeneca,41450
2021-05-01,Uruguay,Pfizer/BioNTech,430076
2021-05-01,Uruguay,Sinovac,1398192
2021-05-02,Uruguay,Oxford/AstraZeneca,41450
2021-05-02,Uruguay,Pfizer/BioNTech,430085
2021-05-02,Uruguay,Sinovac,1398355
2021-05-03,Uruguay,Oxford/AstraZeneca,41506
2021-05-03,Uruguay,Pfizer/BioNTech,443811
2021-05-03,Uruguay,Sinovac,1417167
2021-05-04,Uruguay,Oxford/AstraZeneca,41573
2021-05-04,Uruguay,Pfizer/BioNTech,456275
2021-05-04,Uruguay,Sinovac,1438599
2021-05-05,Uruguay,Oxford/AstraZeneca,41707
2021-05-05,Uruguay,Pfizer/BioNTech,466537
2021-05-05,Uruguay,Sinovac,1460607
2021-05-06,Uruguay,Oxford/AstraZeneca,41755
2021-05-06,Uruguay,Pfizer/BioNTech,475728
2021-05-06,Uruguay,Sinovac,1487929
2021-05-07,Uruguay,Oxford/AstraZeneca,42218
2021-05-07,Uruguay,Pfizer/BioNTech,484530
2021-05-07,Uruguay,Sinovac,1497741
2021-05-08,Uruguay,Oxford/AstraZeneca,42311
2021-05-08,Uruguay,Pfizer/BioNTech,488188
2021-05-08,Uruguay,Sinovac,1501109
2021-05-09,Uruguay,Oxford/AstraZeneca,42311
2021-05-09,Uruguay,Pfizer/BioNTech,488188
2021-05-09,Uruguay,Sinovac,1501456
2021-05-10,Uruguay,Oxford/AstraZeneca,42407
2021-05-10,Uruguay,Pfizer/BioNTech,495371
2021-05-10,Uruguay,Sinovac,1538334
2021-05-11,Uruguay,Oxford/AstraZeneca,42577
2021-05-11,Uruguay,Pfizer/BioNTech,500783
2021-05-11,Uruguay,Sinovac,1575751
2021-05-12,Uruguay,Oxford/AstraZeneca,42686
2021-05-12,Uruguay,Pfizer/BioNTech,507647
2021-05-12,Uruguay,Sinovac,1613165
2021-05-13,Uruguay,Oxford/AstraZeneca,42692
2021-05-13,Uruguay,Pfizer/BioNTech,520431
2021-05-13,Uruguay,Sinovac,1662922
2021-05-14,Uruguay,Oxford/AstraZeneca,42717
2021-05-14,Uruguay,Pfizer/BioNTech,532916
2021-05-14,Uruguay,Sinovac,1710744
2021-05-15,Uruguay,Oxford/AstraZeneca,42738
2021-05-15,Uruguay,Pfizer/BioNTech,536650
2021-05-15,Uruguay,Sinovac,1728408
2021-05-16,Uruguay,Oxford/AstraZeneca,42738
2021-05-16,Uruguay,Pfizer/BioNTech,536653
2021-05-16,Uruguay,Sinovac,1728835
2021-05-17,Uruguay,Oxford/AstraZeneca,42739
2021-05-17,Uruguay,Pfizer/BioNTech,544357
2021-05-17,Uruguay,Sinovac,1774409
2021-05-18,Uruguay,Oxford/AstraZeneca,42746
2021-05-18,Uruguay,Pfizer/BioNTech,551840
2021-05-18,Uruguay,Sinovac,1818785
2021-05-19,Uruguay,Oxford/AstraZeneca,42799
2021-05-19,Uruguay,Pfizer/BioNTech,554860
2021-05-19,Uruguay,Sinovac,1859772
2021-05-20,Uruguay,Oxford/AstraZeneca,42824
2021-05-20,Uruguay,Pfizer/BioNTech,563332
2021-05-20,Uruguay,Sinovac,1899049
2021-05-21,Uruguay,Oxford/AstraZeneca,42828
2021-05-21,Uruguay,Pfizer/BioNTech,576772
2021-05-21,Uruguay,Sinovac,1935033
2021-05-22,Uruguay,Oxford/AstraZeneca,42828
2021-05-22,Uruguay,Pfizer/BioNTech,577083
2021-05-22,Uruguay,Sinovac,1949390
2021-05-23,Uruguay,Oxford/AstraZeneca,42830
2021-05-23,Uruguay,Pfizer/BioNTech,577085
2021-05-23,Uruguay,Sinovac,1950855
2021-05-24,Uruguay,Oxford/AstraZeneca,42834
2021-05-24,Uruguay,Pfizer/BioNTech,585903
2021-05-24,Uruguay,Sinovac,1983530
