date,vaccine,total_vaccinations,location
2021-02-19,Pfizer/BioNTech,165844,Lithuania
2021-02-19,Oxford/AstraZeneca,14888,Lithuania
2021-02-19,Moderna,9368,Lithuania
2021-02-20,Moderna,9368,Lithuania
2021-02-20,Oxford/AstraZeneca,15189,Lithuania
2021-02-20,Pfizer/BioNTech,166548,Lithuania
2021-02-21,Moderna,9368,Lithuania
2021-02-21,Oxford/AstraZeneca,15189,Lithuania
2021-02-21,Pfizer/BioNTech,166548,Lithuania
2021-02-22,Moderna,9536,Lithuania
2021-02-22,Oxford/AstraZeneca,17266,Lithuania
2021-02-22,Pfizer/BioNTech,169779,Lithuania
2021-02-23,Moderna,9948,Lithuania
2021-02-23,Oxford/AstraZeneca,19280,Lithuania
2021-02-23,Pfizer/BioNTech,176011,Lithuania
2021-02-24,Oxford/AstraZeneca,21989,Lithuania
2021-02-24,Pfizer/BioNTech,184897,Lithuania
2021-02-24,Moderna,10082,Lithuania
2021-02-25,Pfizer/BioNTech,191939,Lithuania
2021-02-25,Oxford/AstraZeneca,26106,Lithuania
2021-02-25,Moderna,10793,Lithuania
2021-02-26,Moderna,12298,Lithuania
2021-02-26,Oxford/AstraZeneca,30409,Lithuania
2021-02-26,Pfizer/BioNTech,196172,Lithuania
2021-02-27,Moderna,12298,Lithuania
2021-02-27,Oxford/AstraZeneca,31057,Lithuania
2021-02-27,Pfizer/BioNTech,196317,Lithuania
2021-02-28,Moderna,12298,Lithuania
2021-02-28,Oxford/AstraZeneca,31455,Lithuania
2021-02-28,Pfizer/BioNTech,196368,Lithuania
2021-03-01,Moderna,15784,Lithuania
2021-03-01,Oxford/AstraZeneca,34265,Lithuania
2021-03-01,Pfizer/BioNTech,197642,Lithuania
2021-03-02,Pfizer/BioNTech,203418,Lithuania
2021-03-02,Oxford/AstraZeneca,35951,Lithuania
2021-03-02,Moderna,17672,Lithuania
2021-03-03,Moderna,19481,Lithuania
2021-03-03,Oxford/AstraZeneca,39096,Lithuania
2021-03-03,Pfizer/BioNTech,210475,Lithuania
2021-03-04,Moderna,20550,Lithuania
2021-03-04,Oxford/AstraZeneca,42618,Lithuania
2021-03-04,Pfizer/BioNTech,221358,Lithuania
2021-03-05,Moderna,21131,Lithuania
2021-03-05,Oxford/AstraZeneca,46919,Lithuania
2021-03-05,Pfizer/BioNTech,230500,Lithuania
2021-03-06,Moderna,21219,Lithuania
2021-03-06,Oxford/AstraZeneca,47182,Lithuania
2021-03-06,Pfizer/BioNTech,230775,Lithuania
2021-03-07,Oxford/AstraZeneca,47182,Lithuania
2021-03-07,Pfizer/BioNTech,230777,Lithuania
2021-03-07,Moderna,21219,Lithuania
2021-03-08,Moderna,21701,Lithuania
2021-03-08,Oxford/AstraZeneca,53887,Lithuania
2021-03-08,Pfizer/BioNTech,232509,Lithuania
2021-03-09,Moderna,22665,Lithuania
2021-03-09,Oxford/AstraZeneca,56655,Lithuania
2021-03-09,Pfizer/BioNTech,240682,Lithuania
2021-03-10,Moderna,22857,Lithuania
