date,vaccine,total_vaccinations,location
2021-03-01,Oxford/AstraZeneca,29622,Czechia
2021-03-01,Pfizer/BioNTech,618467,Czechia
2021-03-02,Moderna,41452,Czechia
2021-03-02,Oxford/AstraZeneca,38970,Czechia
2021-03-02,Pfizer/BioNTech,637826,Czechia
2021-03-03,Pfizer/BioNTech,659489,Czechia
2021-03-03,Oxford/AstraZeneca,48589,Czechia
2021-03-03,Moderna,45153,Czechia
2021-03-04,Moderna,49900,Czechia
2021-03-04,Oxford/AstraZeneca,57835,Czechia
2021-03-04,Pfizer/BioNTech,683130,Czechia
2021-03-05,Moderna,53500,Czechia
2021-03-05,Oxford/AstraZeneca,66068,Czechia
2021-03-05,Pfizer/BioNTech,705191,Czechia
2021-03-06,Moderna,54895,Czechia
2021-03-06,Oxford/AstraZeneca,70437,Czechia
2021-03-06,Pfizer/BioNTech,712225,Czechia
2021-03-07,Oxford/AstraZeneca,74590,Czechia
2021-03-07,Pfizer/BioNTech,718973,Czechia
2021-03-07,Moderna,56176,Czechia
2021-03-08,Pfizer/BioNTech,742404,Czechia
2021-03-08,Oxford/AstraZeneca,82396,Czechia
2021-03-08,Moderna,59246,Czechia
2021-03-09,Moderna,64551,Czechia
2021-03-09,Oxford/AstraZeneca,93427,Czechia
2021-03-09,Pfizer/BioNTech,768402,Czechia
2021-03-10,Moderna,69520,Czechia
2021-03-10,Oxford/AstraZeneca,104118,Czechia
2021-03-10,Pfizer/BioNTech,800561,Czechia
2021-03-11,Moderna,73790,Czechia
2021-03-11,Oxford/AstraZeneca,115680,Czechia
2021-03-11,Pfizer/BioNTech,837437,Czechia
2021-03-12,Pfizer/BioNTech,866722,Czechia
2021-03-12,Oxford/AstraZeneca,127746,Czechia
2021-03-12,Moderna,79208,Czechia
2021-03-13,Moderna,80495,Czechia
2021-03-13,Oxford/AstraZeneca,130702,Czechia
2021-03-13,Pfizer/BioNTech,880725,Czechia
2021-03-14,Moderna,81628,Czechia
2021-03-14,Oxford/AstraZeneca,131604,Czechia
2021-03-14,Pfizer/BioNTech,891843,Czechia
2021-03-15,Moderna,88404,Czechia
2021-03-15,Oxford/AstraZeneca,139572,Czechia
2021-03-15,Pfizer/BioNTech,913910,Czechia
2021-03-16,Pfizer/BioNTech,945207,Czechia
2021-03-16,Oxford/AstraZeneca,148112,Czechia
2021-03-16,Moderna,97593,Czechia
2021-03-17,Moderna,105310,Czechia
2021-03-17,Oxford/AstraZeneca,156966,Czechia
2021-03-17,Pfizer/BioNTech,976235,Czechia
2021-03-18,Moderna,112438,Czechia
2021-03-18,Oxford/AstraZeneca,166068,Czechia
2021-03-18,Pfizer/BioNTech,1009909,Czechia
2021-03-19,Pfizer/BioNTech,1042805,Czechia
2021-03-19,Oxford/AstraZeneca,174671,Czechia
2021-03-19,Moderna,118496,Czechia
2021-03-20,Moderna,119633,Czechia
2021-03-20,Oxford/AstraZeneca,177050,Czechia
2021-03-20,Pfizer/BioNTech,1056260,Czechia
2021-03-21,Moderna,119948,Czechia
2021-03-21,Oxford/AstraZeneca,177503,Czechia
2021-03-21,Pfizer/BioNTech,1064358,Czechia
2021-03-22,Oxford/AstraZeneca,184241,Czechia
2021-03-22,Pfizer/BioNTech,1089797,Czechia
2021-03-22,Moderna,124225,Czechia
2021-03-23,Oxford/AstraZeneca,191754,Czechia
2021-03-23,Pfizer/BioNTech,1117949,Czechia
2021-03-23,Moderna,128069,Czechia
2021-03-24,Oxford/AstraZeneca,199334,Czechia
2021-03-24,Pfizer/BioNTech,1148361,Czechia
2021-03-24,Moderna,132214,Czechia
2021-03-25,Pfizer/BioNTech,1180757,Czechia
2021-03-25,Oxford/AstraZeneca,206734,Czechia
2021-03-25,Moderna,136253,Czechia
2021-03-26,Moderna,138784,Czechia
2021-03-26,Oxford/AstraZeneca,212303,Czechia
2021-03-26,Pfizer/BioNTech,1214566,Czechia
2021-03-27,Moderna,140022,Czechia
2021-03-27,Oxford/AstraZeneca,213147,Czechia
2021-03-27,Pfizer/BioNTech,1225639,Czechia
2021-03-28,Moderna,141568,Czechia
2021-03-28,Oxford/AstraZeneca,213240,Czechia
2021-03-28,Pfizer/BioNTech,1233584,Czechia
2021-03-29,Pfizer/BioNTech,1263311,Czechia
2021-03-29,Oxford/AstraZeneca,216942,Czechia
2021-03-29,Moderna,147433,Czechia
2021-03-30,Moderna,156247,Czechia
2021-03-30,Oxford/AstraZeneca,222208,Czechia
2021-03-30,Pfizer/BioNTech,1295700,Czechia
2021-03-31,Moderna,167213,Czechia
2021-03-31,Oxford/AstraZeneca,227106,Czechia
2021-03-31,Pfizer/BioNTech,1329606,Czechia
2021-04-01,Moderna,177884,Czechia
2021-04-01,Oxford/AstraZeneca,231532,Czechia
2021-04-01,Pfizer/BioNTech,1371645,Czechia
2021-04-02,Oxford/AstraZeneca,232033,Czechia
2021-04-02,Pfizer/BioNTech,1388054,Czechia
2021-04-02,Moderna,180413,Czechia
2021-04-03,Moderna,182111,Czechia
2021-04-03,Oxford/AstraZeneca,232210,Czechia
2021-04-03,Pfizer/BioNTech,1400574,Czechia
2021-04-04,Moderna,183314,Czechia
2021-04-04,Oxford/AstraZeneca,232211,Czechia
2021-04-04,Pfizer/BioNTech,1410559,Czechia
2021-04-05,Moderna,184709,Czechia
2021-04-05,Oxford/AstraZeneca,232282,Czechia
2021-04-05,Pfizer/BioNTech,1418535,Czechia
2021-04-06,Pfizer/BioNTech,1452235,Czechia
2021-04-06,Oxford/AstraZeneca,235231,Czechia
2021-04-06,Moderna,193148,Czechia
2021-04-07,Moderna,201462,Czechia
2021-04-07,Oxford/AstraZeneca,243135,Czechia
2021-04-07,Pfizer/BioNTech,1481174,Czechia
2021-04-08,Moderna,207654,Czechia
2021-04-08,Oxford/AstraZeneca,254229,Czechia
2021-04-08,Pfizer/BioNTech,1532639,Czechia
2021-04-09,Moderna,215187,Czechia
2021-04-09,Oxford/AstraZeneca,265186,Czechia
2021-04-09,Pfizer/BioNTech,1582589,Czechia
2021-04-10,Oxford/AstraZeneca,268646,Czechia
2021-04-10,Pfizer/BioNTech,1608005,Czechia
2021-04-10,Moderna,216745,Czechia
2021-04-11,Pfizer/BioNTech,1626011,Czechia
2021-04-11,Moderna,217884,Czechia
2021-04-11,Oxford/AstraZeneca,269137,Czechia
2021-04-12,Moderna,226376,Czechia
2021-04-12,Oxford/AstraZeneca,277696,Czechia
2021-04-12,Pfizer/BioNTech,1671197,Czechia
2021-04-13,Moderna,236897,Czechia
2021-04-13,Oxford/AstraZeneca,286912,Czechia
2021-04-13,Pfizer/BioNTech,1712767,Czechia
2021-04-14,Moderna,247231,Czechia
2021-04-14,Oxford/AstraZeneca,296767,Czechia
2021-04-14,Pfizer/BioNTech,1758019,Czechia
2021-04-15,Pfizer/BioNTech,1812439,Czechia
2021-04-15,Oxford/AstraZeneca,305706,Czechia
2021-04-15,Moderna,256604,Czechia
2021-04-16,Moderna,266482,Czechia
2021-04-16,Oxford/AstraZeneca,312266,Czechia
2021-04-16,Pfizer/BioNTech,1865602,Czechia
2021-04-17,Moderna,268834,Czechia
2021-04-17,Oxford/AstraZeneca,312872,Czechia
2021-04-17,Pfizer/BioNTech,1888079,Czechia
2021-04-18,Moderna,269711,Czechia
2021-04-18,Oxford/AstraZeneca,313015,Czechia
2021-04-18,Pfizer/BioNTech,1904878,Czechia
2021-04-19,Pfizer/BioNTech,1951339,Czechia
2021-04-19,Oxford/AstraZeneca,318421,Czechia
2021-04-19,Moderna,276595,Czechia
2021-04-20,Moderna,283330,Czechia
2021-04-20,Oxford/AstraZeneca,324992,Czechia
2021-04-20,Pfizer/BioNTech,1995548,Czechia
2021-04-21,Moderna,288670,Czechia
2021-04-21,Oxford/AstraZeneca,332330,Czechia
2021-04-21,Pfizer/BioNTech,2044096,Czechia
2021-04-22,Oxford/AstraZeneca,340220,Czechia
2021-04-22,Johnson&Johnson,28,Czechia
2021-04-22,Moderna,294529,Czechia
2021-04-22,Pfizer/BioNTech,2101416,Czechia
2021-04-23,Johnson&Johnson,248,Czechia
2021-04-23,Moderna,298372,Czechia
2021-04-23,Oxford/AstraZeneca,346302,Czechia
2021-04-23,Pfizer/BioNTech,2152398,Czechia
2021-04-24,Oxford/AstraZeneca,346964,Czechia
2021-04-24,Pfizer/BioNTech,2173643,Czechia
2021-04-24,Johnson&Johnson,260,Czechia
2021-04-24,Moderna,299187,Czechia
2021-04-25,Oxford/AstraZeneca,347135,Czechia
2021-04-25,Pfizer/BioNTech,2190426,Czechia
2021-04-25,Johnson&Johnson,276,Czechia
2021-04-25,Moderna,300643,Czechia
2021-04-26,Pfizer/BioNTech,2236090,Czechia
2021-04-26,Oxford/AstraZeneca,352595,Czechia
2021-04-26,Johnson&Johnson,818,Czechia
2021-04-26,Moderna,304743,Czechia
2021-04-27,Johnson&Johnson,1751,Czechia
2021-04-27,Moderna,310902,Czechia
2021-04-27,Oxford/AstraZeneca,359110,Czechia
2021-04-27,Pfizer/BioNTech,2281997,Czechia
2021-04-28,Johnson&Johnson,3202,Czechia
2021-04-28,Moderna,319266,Czechia
2021-04-28,Oxford/AstraZeneca,365610,Czechia
2021-04-28,Pfizer/BioNTech,2336285,Czechia
2021-04-29,Moderna,327016,Czechia
2021-04-29,Pfizer/BioNTech,2399529,Czechia
2021-04-29,Johnson&Johnson,4777,Czechia
2021-04-29,Oxford/AstraZeneca,371876,Czechia
2021-04-30,Johnson&Johnson,6226,Czechia
2021-04-30,Moderna,330811,Czechia
2021-04-30,Oxford/AstraZeneca,375614,Czechia
2021-04-30,Pfizer/BioNTech,2460412,Czechia
2021-05-01,Oxford/AstraZeneca,375802,Czechia
2021-05-01,Johnson&Johnson,6292,Czechia
2021-05-01,Moderna,331994,Czechia
2021-05-01,Pfizer/BioNTech,2481347,Czechia
2021-05-02,Pfizer/BioNTech,2501583,Czechia
2021-05-02,Oxford/AstraZeneca,375911,Czechia
2021-05-02,Moderna,332481,Czechia
2021-05-02,Johnson&Johnson,6319,Czechia
2021-05-03,Johnson&Johnson,7428,Czechia
2021-05-03,Moderna,335349,Czechia
2021-05-03,Oxford/AstraZeneca,378991,Czechia
2021-05-03,Pfizer/BioNTech,2564917,Czechia
2021-05-04,Johnson&Johnson,8974,Czechia
2021-05-04,Moderna,342158,Czechia
2021-05-04,Oxford/AstraZeneca,383094,Czechia
2021-05-04,Pfizer/BioNTech,2624694,Czechia
2021-05-05,Pfizer/BioNTech,2690859,Czechia
2021-05-05,Oxford/AstraZeneca,389140,Czechia
2021-05-05,Moderna,347606,Czechia
2021-05-05,Johnson&Johnson,10929,Czechia
2021-05-06,Johnson&Johnson,12884,Czechia
2021-05-06,Moderna,352886,Czechia
2021-05-06,Oxford/AstraZeneca,396231,Czechia
2021-05-06,Pfizer/BioNTech,2764458,Czechia
2021-05-07,Johnson&Johnson,14795,Czechia
2021-05-07,Moderna,357664,Czechia
2021-05-07,Oxford/AstraZeneca,401751,Czechia
2021-05-07,Pfizer/BioNTech,2836610,Czechia
2021-05-08,Oxford/AstraZeneca,402010,Czechia
2021-05-08,Pfizer/BioNTech,2865874,Czechia
2021-05-08,Johnson&Johnson,14938,Czechia
2021-05-08,Moderna,358754,Czechia
2021-05-09,Pfizer/BioNTech,2889551,Czechia
2021-05-09,Oxford/AstraZeneca,402406,Czechia
2021-05-09,Johnson&Johnson,14946,Czechia
2021-05-09,Moderna,359836,Czechia
2021-05-10,Johnson&Johnson,16623,Czechia
2021-05-10,Moderna,365282,Czechia
2021-05-10,Oxford/AstraZeneca,408144,Czechia
2021-05-10,Pfizer/BioNTech,2953810,Czechia
