date,total_vaccinations,media_url,source_url,text
2021-04-27,,https://pbs.twimg.com/media/E0ALtbGXMAQLan_.jpg,https://twitter.com/FMoHealth/status/1387122641174241283,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 5,258 የላቦራቶሪ ናሙና ምርመራ 924 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 254,044 ደርሷል።
Status update on #covid19ethiopia https://t.co/RmT0RyJagy"
2021-04-28,,https://pbs.twimg.com/media/E0FJfvrXMAItv7w.jpg,https://twitter.com/FMoHealth/status/1387471623410884612,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 7,099 የላቦራቶሪ ናሙና ምርመራ 1,244 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 255,288 ደርሷል። 
Status update on #covid19ethiopia https://t.co/lBjYdSsu78"
2021-04-29,,https://pbs.twimg.com/media/E0KcstEWUAM9Yam.jpg,https://twitter.com/FMoHealth/status/1387844119242870786,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 6,198 የላቦራቶሪ ናሙና ምርመራ 1,130 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 256,418 ደርሷል።
Status update on #covid19ethiopia https://t.co/ZWgUmLJets"
2021-04-30,,https://pbs.twimg.com/media/E0PbQLvXoAEYf7A.jpg,https://twitter.com/FMoHealth/status/1388194200995442695,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 6,156 የላቦራቶሪ ናሙና ምርመራ 1,024 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 257,442 ደርሷል። 
Status update on #covid19ethiopia https://t.co/3tqmZu8bGn"
2021-05-01,,https://pbs.twimg.com/media/E0UpjEVXMAI3gZS.jpg,https://twitter.com/FMoHealth/status/1388561745321635844,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 3,605 የላቦራቶሪ ናሙና ምርመራ 620 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 258,062 ደርሷል። 
Status update on #covid19ethiopia https://t.co/KpUd4Bp36X"
2021-05-02,,https://pbs.twimg.com/media/E0ZsCJ8XIAo1HQ-.jpg,https://twitter.com/FMoHealth/status/1388916322294194186,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 1,778 የላቦራቶሪ ናሙና ምርመራ 322 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 258,384 ደርሷል። 
Status update on #covid19ethiopia https://t.co/ofgwY20jzy"
2021-05-03,,https://pbs.twimg.com/media/E0fAz1VWYAMxya6.jpg,https://twitter.com/FMoHealth/status/1389291010631557123,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 4,008 የላቦራቶሪ ናሙና ምርመራ 429 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 258,813 ደርሷል። 
Status update on #covid19ethiopia https://t.co/gSrIRVYVyM"
2021-05-04,,https://pbs.twimg.com/media/E0kFpAGXIAQYq6x.jpg,https://twitter.com/FMoHealth/status/1389648165104664583,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 3,638 የላቦራቶሪ ናሙና ምርመራ 541 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 259,354 ደርሷል። 
Status update on #covid19ethiopia https://t.co/Em75tupj0a"
2021-05-05,,https://pbs.twimg.com/media/E0pJmqQWYAAhk6_.jpg,https://twitter.com/FMoHealth/status/1390004366476709897,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 5,733 የላቦራቶሪ ናሙና ምርመራ 785 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 260,139 ደርሷል። 
Status update on #covid19ethiopia https://t.co/Ck7XPRntCa"
2021-05-06,,https://pbs.twimg.com/media/E0ubcK9WYAYtYrm.jpg,https://twitter.com/FMoHealth/status/1390375821261643776,"ባለፉት 24 ሰዓታት ውስጥ በተደረገ 3,914 የላቦራቶሪ ናሙና ምርመራ 663 ሰዎች በኮሮና ቫይረስ መያዛቸው ተረጋግጧል። በአጠቃላይ እስካሁን በቫይረሱ የተያዙ ሰዎች ቁጥር 260,802 ደርሷል። 
Status update on #covid19ethiopia https://t.co/0Cl8l5OHYq"
