Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-05-16,TN,TNA,Tennessee,6829174.0,Report,5806670.0,4572341,85027.0,66953.0,1947381.0,2491050.0,126543.0,7367.0,2536847.0,37.1,27.9,2503619.0,47.1,4521428.0,85003.0,109166.0,864341.0,75.6,1643122.0,143706.0,507846.0,1908573.0,1891727.0,35.6,2429620.0,3024450.0,352600.0,0.0,836223.0,1070186.0,123278.0,2164.0,836019.0,1053549.0,123145.0,2159.0,381461.0,346297.0,22613.0,1360.0,2031851,29.8,2014872.0,37.9,751731.0,65.7,1584813.0,5835568.0,4571890.0,78345.0,99505.0,2536470.0,43.5,1908526.0,32.7,2031771.0,34.8,836210.0,1070152.0,123245.0,2164.0,4411629.0,,,,
2021-05-16,TX,TXA,Texas,28995881.0,Report,28654065.0,21179788,98821.0,73044.0,9195212.0,11218707.0,765068.0,801.0,11881680.0,41.0,29.8,11663058.0,54.0,20786249.0,96250.0,132682.0,2973985.0,79.6,5552256.0,148685.0,767336.0,8630976.0,8515321.0,39.4,11769660.0,15120105.0,1764300.0,0.0,3899143.0,4728861.0,748664.0,647.0,3825096.0,4639057.0,734446.0,635.0,1064466.0,1290979.0,204385.0,177.0,9377315,32.3,9199235.0,42.6,2560007.0,68.6,5339376.0,24101113.0,21175617.0,87862.0,118891.0,11878116.0,49.3,8630113.0,35.8,9375440.0,38.9,3898363.0,4727915.0,748514.0,647.0,20552546.0,,,,
2021-05-16,UT,UTA,Utah,3205958.0,Report,2933850.0,2383485,91512.0,74345.0,1028892.0,1256489.0,98104.0,0.0,1352447.0,42.2,26.0,1316502.0,57.9,2327819.0,102332.0,128973.0,311733.0,85.2,584468.0,159747.0,801879.0,834122.0,815245.0,35.8,1261040.0,1512810.0,160000.0,0.0,367259.0,466862.0,94762.0,1.0,367104.0,448140.0,94657.0,1.0,93092.0,107709.0,11526.0,0.0,928884,29.0,909902.0,40.0,212327.0,58.0,569421.0,2592257.0,2383165.0,91934.0,113177.0,1352194.0,52.2,834080.0,32.2,928816.0,35.8,367244.0,466835.0,94736.0,1.0,2334841.0,,,,
2021-05-16,VA,VAA,Virginia,8535519.0,Report,9189605.0,7621636,107663.0,89293.0,3107155.0,4251667.0,260815.0,1999.0,4374222.0,51.2,37.3,4268583.0,64.0,7467388.0,111876.0,137679.0,1164021.0,85.7,2147288.0,158016.0,676250.0,3180831.0,3132839.0,46.9,3656340.0,5024565.0,508700.0,0.0,1348488.0,1831713.0,258174.0,630.0,1346146.0,1786066.0,257334.0,627.0,490927.0,477471.0,53519.0,396.0,3439005,40.3,3390173.0,50.8,1022313.0,75.2,2067154.0,7306973.0,7619348.0,104275.0,125765.0,4372230.0,59.8,3180562.0,43.5,3438660.0,47.1,1348361.0,1831571.0,258098.0,630.0,7230017.0,,,,
2021-05-16,VA2,VA2,Veterans Health,0.0,Report,6239605.0,5145008,0.0,0.0,2681941.0,2330620.0,132445.0,2.0,2741198.0,0.0,0.0,2740639.0,0.0,5144149.0,0.0,0.0,1451982.0,0.0,2782751.0,0.0,0.0,2400564.0,2400266.0,0.0,2985500.0,2733705.0,520400.0,0.0,1279432.0,1121131.0,132274.0,1.0,1279397.0,1120868.0,132254.0,1.0,766599.0,563054.0,45985.0,1.0,2532838,0.0,2532520.0,0.0,1375639.0,0.0,2782751.0,0.0,5144868.0,0.0,0.0,2741115.0,0.0,2400507.0,0.0,2532776.0,0.0,1279414.0,1121092.0,132269.0,1.0,5144868.0,,,,
2021-05-16,VI,VIA,Virgin Islands,104680.0,Report,68820.0,67595,65743.0,64573.0,21805.0,45316.0,474.0,0.0,35888.0,34.3,27.6,35426.0,43.4,66795.0,81806.0,84287.0,11784.0,66.2,21850.0,122780.0,386716.0,28896.0,28611.0,35.0,21900.0,46020.0,900.0,0.0,9662.0,19233.0,470.0,1.0,9650.0,18960.0,468.0,1.0,4153.0,5769.0,209.0,1.0,29366,28.1,29079.0,35.6,10132.0,56.9,21442.0,89395.0,67546.0,75559.0,76984.0,35850.0,40.1,28886.0,32.3,29355.0,32.8,9657.0,19228.0,469.0,1.0,66909.0,,,,
2021-05-16,VT,VTA,Vermont,623989.0,Report,808250.0,676648,129530.0,108439.0,294373.0,348860.0,32865.0,550.0,406896.0,65.2,42.3,399340.0,78.3,667198.0,130827.0,158485.0,122032.0,97.6,236666.0,189274.0,646398.0,263669.0,261811.0,51.3,357740.0,401310.0,49200.0,0.0,117871.0,145609.0,31958.0,189.0,117851.0,143771.0,31936.0,189.0,54193.0,54640.0,1185.0,124.0,295627,47.4,293747.0,57.6,110142.0,88.1,228309.0,550950.0,676635.0,122812.0,146701.0,406869.0,73.8,263665.0,47.9,295616.0,53.7,117867.0,145609.0,31951.0,189.0,655912.0,,,,
2021-05-16,WA,WAA,Washington,7614893.0,Report,8316630.0,6813377,109215.0,89474.0,2866884.0,3692942.0,249466.0,4085.0,3949871.0,51.9,36.8,3867728.0,65.0,6698792.0,112550.0,139732.0,1056042.0,87.3,2001442.0,165446.0,687482.0,2803608.0,2772143.0,46.6,3459440.0,4395690.0,461500.0,0.0,1224002.0,1578492.0,247955.0,1114.0,1223729.0,1547303.0,247818.0,1111.0,445027.0,479107.0,42723.0,701.0,3051563,40.1,3019961.0,50.7,967558.0,80.0,1926633.0,6500925.0,6812869.0,104798.0,127930.0,3949436.0,60.8,2803544.0,43.1,3051487.0,46.9,1223987.0,1578443.0,247943.0,1114.0,6597160.0,,,,
2021-05-16,WI,WIA,Wisconsin,5822434.0,Report,5693955.0,5158010,97793.0,88589.0,2199468.0,2765112.0,192907.0,523.0,2807744.0,48.2,38.4,2751771.0,60.4,5068372.0,111250.0,124982.0,893603.0,87.8,1764246.0,173434.0,559744.0,2237721.0,2206759.0,48.4,2463360.0,2929095.0,301500.0,0.0,980819.0,1256670.0,186137.0,232.0,980636.0,1225895.0,186033.0,228.0,412706.0,412824.0,19433.0,96.0,2423858,41.6,2392792.0,52.5,845059.0,83.1,1696844.0,4999792.0,5157763.0,103160.0,113884.0,2807502.0,56.2,2237701.0,44.8,2423828.0,48.5,980809.0,1256660.0,186127.0,232.0,5017223.0,,,,
2021-05-16,WV,WVA,West Virginia,1792147.0,Report,1731955.0,1252130,96641.0,69868.0,599709.0,627929.0,24443.0,49.0,681693.0,38.0,31.4,668382.0,46.7,1230823.0,85917.0,120898.0,265835.0,72.4,503239.0,137118.0,471908.0,562919.0,555478.0,38.8,791180.0,835575.0,105200.0,0.0,274217.0,288603.0,25359.0,99.0,274069.0,281311.0,25331.0,98.0,124562.0,112695.0,4135.0,54.0,588278,32.8,580809.0,40.5,241446.0,65.8,460468.0,1557837.0,1251354.0,80326.0,111177.0,681178.0,43.7,562699.0,36.1,588050.0,37.7,274146.0,288454.0,25351.0,99.0,1165438.0,,,,
2021-05-16,WY,WYA,Wyoming,578759.0,Report,495435.0,378799,85603.0,65450.0,184692.0,181360.0,12539.0,208.0,204571.0,35.3,28.3,202240.0,45.4,375076.0,84282.0,111327.0,73742.0,74.4,139748.0,140905.0,499536.0,163805.0,162519.0,36.5,239860.0,223275.0,32300.0,0.0,81124.0,82639.0,11884.0,42.0,81113.0,81364.0,11879.0,42.0,35295.0,30601.0,1988.0,18.0,175689,30.4,174398.0,39.2,67902.0,68.5,128368.0,490721.0,378786.0,77190.0,100961.0,204558.0,41.7,163805.0,33.4,175688.0,35.8,81124.0,82639.0,11883.0,42.0,348255.0,,,,
2021-05-16,LTC,LTC,Long Term Care,,,,7826181,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
