Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-07-25,IH2,IH2,Indian Health Svc,2082813.0,Report,1786465.0,1483336,85772.0,71218.0,780994.0,675106.0,27236.0,0.0,823709.0,39.5,31.3,768092.0,0.0,1386728.0,0.0,0.0,150824.0,0.0,277880.0,0.0,0.0,651622.0,610761.0,0.0,925900.0,785865.0,74700.0,0.0,346546.0,305076.0,27035.0,0.0,346286.0,264475.0,26993.0,0.0,72307.0,51706.0,2772.0,0.0,678657,32.6,637754.0,0.0,126785.0,0.0,277880.0,0.0,1482821.0,0.0,0.0,823364.0,0.0,651485.0,0.0,678505.0,0.0,346472.0,305013.0,27020.0,0.0,1482821.0,,,,,
2021-07-25,IL,ILA,Illinois,12671821.0,Report,15140315.0,13499414,119480.0,106531.0,5240272.0,7764382.0,480973.0,13787.0,7811616.0,61.6,44.4,7287549.0,74.0,12635295.0,128226.0,153647.0,1861968.0,91.1,3357861.0,164341.0,740998.0,5620714.0,5276625.0,53.5,5954820.0,8334795.0,850700.0,0.0,2263538.0,3352574.0,479333.0,4602.0,2257173.0,3014896.0,476966.0,4556.0,704312.0,760543.0,68697.0,2293.0,6100047,48.1,5753591.0,58.4,1535845.0,75.2,3262231.0,10837805.0,13459143.0,124187.0,139699.0,7786017.0,71.8,5606454.0,51.7,6085761.0,56.2,2263495.0,3338357.0,479307.0,4602.0,13248824.0,,,,,
2021-07-25,IN,INA,Indiana,6732219.0,Report,6945660.0,6017619,103170.0,89385.0,2336707.0,3435866.0,224943.0,20103.0,3145270.0,46.7,40.7,2991824.0,57.9,5733415.0,111021.0,134495.0,908274.0,83.7,1826014.0,168181.0,639715.0,2736992.0,2611903.0,50.6,2776080.0,3742080.0,427500.0,0.0,1108275.0,1622199.0,220480.0,6518.0,1108045.0,1497376.0,220328.0,6482.0,438346.0,416759.0,26031.0,3248.0,2957472,43.9,2832231.0,54.8,884384.0,81.5,1791265.0,5705039.0,6017267.0,105473.0,121746.0,3144961.0,55.1,2736895.0,48.0,2957359.0,51.8,1108262.0,1622115.0,220464.0,6518.0,5937814.0,,,,,
2021-07-25,KS,KSA,Kansas,2913314.0,Report,3181175.0,2672427,109194.0,91732.0,1122549.0,1457024.0,92068.0,786.0,1531680.0,52.6,41.8,1450824.0,65.6,2539704.0,114760.0,143745.0,443827.0,93.3,797915.0,167810.0,669035.0,1216587.0,1158858.0,52.4,1394320.0,1613355.0,173500.0,0.0,527459.0,688829.0,91044.0,299.0,527235.0,631339.0,90967.0,284.0,185584.0,183327.0,15435.0,150.0,1307631,44.9,1249825.0,56.5,384496.0,80.9,763168.0,2451697.0,2672303.0,108998.0,129754.0,1531559.0,62.5,1216571.0,49.6,1307608.0,53.3,527452.0,688820.0,91037.0,299.0,2556024.0,,,,,
2021-07-25,KY,KYA,Kentucky,4467673.0,Report,4619765.0,4148883,103404.0,92865.0,1801518.0,2174557.0,172223.0,585.0,2295242.0,51.4,41.4,2189752.0,63.2,3966189.0,114471.0,133334.0,653452.0,87.1,1203659.0,160367.0,615506.0,1849958.0,1772760.0,51.2,2036620.0,2316645.0,266500.0,0.0,836870.0,1012298.0,169898.0,790.0,836702.0,935282.0,169800.0,776.0,272665.0,288608.0,34942.0,444.0,2019856,45.2,1942560.0,56.1,596659.0,79.5,1167579.0,3806167.0,4147801.0,108976.0,121376.0,2294884.0,60.3,1849922.0,48.6,2019796.0,53.1,836859.0,1012274.0,169874.0,789.0,4061230.0,,,,,
2021-07-25,LA,LAA,Louisiana,4648794.0,Report,4226020.0,3562082,90906.0,76624.0,1594396.0,1832593.0,133843.0,1250.0,1904404.0,41.0,33.8,1838889.0,51.6,3452771.0,96956.0,118670.0,598602.0,80.8,1175345.0,158611.0,570296.0,1572738.0,1530005.0,43.0,1879880.0,2108040.0,238100.0,0.0,734561.0,837583.0,127276.0,594.0,734245.0,795170.0,127163.0,590.0,270879.0,278834.0,19479.0,131.0,1700014,36.6,1657168.0,46.5,569323.0,76.8,1127473.0,3923318.0,3561866.0,90787.0,107715.0,1904217.0,48.5,1572695.0,40.1,1699951.0,43.3,734545.0,837556.0,127256.0,594.0,3440539.0,,,,,
2021-07-25,MA,MAA,Massachusetts,6892503.0,Report,9952860.0,9080599,144401.0,131746.0,3599040.0,5179132.0,302216.0,211.0,4972665.0,72.1,59.2,4646377.0,83.9,8487410.0,153211.0,179664.0,1133139.0,96.9,2082714.0,178111.0,851158.0,4077040.0,3809742.0,68.8,4000940.0,5507220.0,444700.0,0.0,1665334.0,2411626.0,303070.0,80.0,1660080.0,2149594.0,301892.0,68.0,462310.0,487805.0,65571.0,25.0,4380110,63.5,4111634.0,74.2,1015711.0,86.9,2021023.0,6016745.0,9052210.0,150450.0,165419.0,4955952.0,82.4,4065631.0,67.6,4368694.0,72.6,1665326.0,2400225.0,303063.0,80.0,8920132.0,,,,,
2021-07-25,MD,MDA,Maryland,6045680.0,Report,8713260.0,7143246,144124.0,118155.0,2739760.0,4121151.0,273950.0,8385.0,3873895.0,64.1,54.0,3620932.0,76.9,6676228.0,141716.0,184956.0,891258.0,92.9,1679094.0,175016.0,908203.0,3263295.0,3051937.0,64.8,3416280.0,4856580.0,440400.0,0.0,1301188.0,1959685.0,266120.0,2422.0,1300861.0,1748721.0,265980.0,2355.0,401467.0,389058.0,50231.0,706.0,3529415,58.4,3317917.0,70.4,841462.0,87.7,1634173.0,5162887.0,7142856.0,138350.0,168767.0,3873435.0,75.0,3263166.0,63.2,3529257.0,68.4,1301154.0,1959590.0,266091.0,2422.0,6929827.0,,,,,
2021-07-25,ME,MEA,Maine,1344212.0,Report,1900430.0,1654785,141379.0,123104.0,694037.0,852059.0,108154.0,535.0,912505.0,67.9,55.3,865420.0,79.0,1565684.0,142937.0,173497.0,272582.0,95.6,510538.0,178970.0,666198.0,742689.0,701674.0,64.1,817680.0,979650.0,103100.0,0.0,333708.0,408841.0,106416.0,140.0,333656.0,367890.0,106365.0,128.0,119059.0,118952.0,21860.0,54.0,849105,63.2,808039.0,73.8,259925.0,91.1,493862.0,1184936.0,1654685.0,139643.0,160383.0,912410.0,77.0,742678.0,62.7,849077.0,71.7,333704.0,408834.0,106399.0,140.0,1606838.0,,,,,
2021-07-25,MH,MHA,Marshall Islands,58413.0,Report,51300.0,35847,87823.0,61368.0,34662.0,0.0,1185.0,0.0,19834.0,34.0,27.3,19766.0,43.4,35756.0,78590.0,112755.0,1152.0,11.6,2090.0,21118.0,518339.0,15954.0,15926.0,35.0,40500.0,0.0,10800.0,0.0,15943.0,11.0,1178.0,0.0,15917.0,9.0,1175.0,0.0,937.0,0.0,64.0,0.0,17132,29.3,17101.0,37.6,1001.0,10.1,2090.0,49884.0,35818.0,71803.0,102839.0,19813.0,39.7,15946.0,32.0,17123.0,34.3,15935.0,11.0,1177.0,0.0,35818.0,,,,,
