location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Liberia,2021-05-12,Oxford/AstraZeneca,36404,https://covid19.who.int/,36404,0
Liberia,2021-05-21,Oxford/AstraZeneca,52446,https://covid19.who.int/,52446,0
Liberia,2021-05-24,Oxford/AstraZeneca,53626,https://covid19.who.int/,53626,0
Liberia,2021-05-26,Oxford/AstraZeneca,55690,https://covid19.who.int/,55690,0
Liberia,2021-05-31,Oxford/AstraZeneca,56144,https://covid19.who.int/,56144,0
Liberia,2021-06-08,Oxford/AstraZeneca,63802,https://covid19.who.int/,63662,140
Liberia,2021-06-10,Oxford/AstraZeneca,64129,https://covid19.who.int/,63662,467
