location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Chad,2021-06-10,BBIBP-CorV,5324,https://covid19.who.int/,5324,0
Chad,2021-06-23,BBIBP-CorV,8981,https://africacdc.org/covid-19-vaccination/,8981,0
Chad,2021-06-10,BBIBP-CorV,9799,https://covid19.who.int/,9799,0
